tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
301.02,0.4489373401277563,0.44756944439999996,0.5142083896999999,0.4688810061,0.4619305511,0.4559768638
301.03,0.4821114112064668,0.4823178526,0.5120643432,0.5565949486,0.5582137161,0.519640853
301.04,0.49825903495858326,0.5053054201,0.4793926247,0.4943438914,0.49329608939999997,0.4865944096
302,0.7480892067727476,0.7599437525,0.7072430793000001,0.7081800666,0.6717357104999999,0.6547970479999999
303,0.3799234744472943,0.3840916125,0.3689734339,0.37256908899999996,0.3558303887,0.36745689659999997
304,0.4571172556694043,0.45972644380000005,0.47185985840000005,0.4986481267,0.5070367475,0.5458240946
305,0.5643082415814166,0.5717532468,0.5701068751,0.5180631451,0.5132404715,0.5152184197999999
306.01,0.5277327392412702,0.5337909187,0.5144149237,0.5203534238,0.49662162159999995,0.44715224530000003
306.03,0.35423181301134765,0.35560020090000005,0.37109375,0.3612812058,0.3499775079,0.3667094566
306.04,0.5079166399344873,0.5134020618999999,0.5079365079,0.5045454545,0.4992846924,0.45934530100000004
307.01,0.4691541288408753,0.4770482278,0.4959630911,0.4181449569,0.480154355,0.4725095264
307.02,0.7286812967832876,0.7295813315,0.7616438356,0.7652795839000001,0.6859716859999999,0.8097863542
307.03,0.6280364882781918,0.6323099415,0.6444358278,0.6572519084,0.6442687747,0.6581709145
307.06,0.536892266497853,0.5466741196,0.5488439306,0.4929619647,0.556231003,0.5210797695
308,0.6206702476681213,0.6281130268,0.6311010215999999,0.6107142857,0.6254448399,0.6957170254
309,0.5807138359762745,0.5893977415,0.5799812909000001,0.5925587069,0.6434359806000001,0.6369066331000001
310,0.6661069143993188,0.6745593265000001,0.6493469620000001,0.6783716594,0.6743978590999999,0.6601851852
311,0.636908179619152,0.6374722838,0.6755319149,0.623935667,0.5344952796,0.5165636042
312,0.4478024140534246,0.4538810982,0.44711934159999994,0.3943265076,0.37843907920000003,0.34191040359999997
313,0.37098497457511626,0.36929194460000003,0.4026249503,0.3960752903,0.3543825259,0.4064410318
314,0.6773959210707629,0.6842002345999999,0.6676806084,0.7210506135,0.7154803940000001,0.7544193119
315.01,0.42353827967655,0.4270462633,0.3895043732,0.4131285757,0.3305084746,0.2921295202
