tract,percent_vehicle_alone_2016,percent_vehicle_alone_2015,percent_vehicle_alone_2014,percent_vehicle_alone_2013,percent_vehicle_alone_2012,percent_vehicle_alone_2011
8029.0,78.92930578235759,79.05544148,83.13253012,83.18288198,86.0306644,87.87364129999999
8030.05,86.33060034721305,87.10754843,87.68729642,88.04725504,83.02718589,82.85922684
8030.07,87.09546833046761,87.9406308,88.39654525,84.0077821,83.38945006,83.84615385
8030.08,84.56360087578325,85.16853933,85.62983174,84.43544759,85.36162841,86.70634921
8030.1,81.36631654808187,81.76360225,81.69283799,83.98865018,85.81368379999999,85.82178218
8030.12,84.20313590631537,84.43636364,88.9861415,87.05454545,91.4198937,93.31848552
8030.13,84.79006954359666,85.33182504,87.66037736,85.07462687,86.01632047,87.57267442
8030.14,79.19964578990988,79.22922923,82.30808338,86.25298329,89.29061785,84.35684647
8030.15,80.92436556238678,81.11801242,86.32546981,84.25166081,86.71572424,85.62239879
8030.16,74.53486566139127,74.54991817,79.12280702,81.68316832,81.16089613,83.16939891
8030.17,78.90353940032948,79.16431395,82.86467487,83.80258364,82.45501285,81.97044335
8031.0,77.44828670234419,77.86783042,77.98665858,80.09232545,78.82681564,81.79255919
8032.0,82.001030126647,82.20750552,86.39395287,88.51239669,88.20870994,86.66666667
8033.0,74.16354521219301,74.44134078,74.5733194,78.15213616,77.21014493,78.65655471
8034.0,72.35960417097435,72.48201439,75.27114967,73.96923077,77.11837512,76.14465826
8035.0,74.87664269165987,75.54247885,71.45038168,71.33587786,72.23751475,68.57807052
8036.03,79.89122548883765,80.35714286,83.18499682,81.50419626,79.67720685,77.14558169
8036.04,77.89653900123984,78.45117845,76.86440678,78.12884694,77.54429337,78.83784845
8036.05,78.61831148626663,79.08597986,78.28187919,80.10314875,80.26452282,79.48094079
8036.06,69.46962805637237,69.36763645,72.39311783,73.32994666,78.05592543,76.43149284
8036.07,80.18637186721958,80.84539223,79.83587339,78.80133185,78.22370866,80.14297061
8036.08,81.14820022626466,82.14468958,78.58649789,75.17930328,73.2495069,71.77276186
8036.1,82.56448127621847,83.16074951,83.70975493,84.78060046,81.90366972,81.93470375
8036.11,75.3219777197923,75.55768005,77.80366057,77.49152542,79.02005919,81.43227479
8036.12,72.79560395594737,72.50620347,78.56128727,80.49463369,85.54216867,80.30907278
8037.01,81.09060022448543,81.31648936,86.2255233,88.04566823,85.6187291,85.5143457
8037.02,84.30682347970065,85.41397154,81.79059181,78.20867959,75.32082922,75.8596735
8038.0,77.92621935512346,78.125,83.07813113,83.33333333,81.58899924,82.34134805
8039.01,82.99085126603357,83.66745283,83.14540059,79.62732919,82.2319202,81.90148912
8039.02,75.9790133251574,75.9077527,82.77634961,81.12078346,84.53966416,83.56860531
8040.0,75.4845926899821,75.33241632,81.39325843,83.06374881,86.08576642,89.85633435
8041.02,77.52345778269157,78.00407332,77.70426728,78.92590075,77.81735751,80.60344828
8041.04,85.09399734879838,85.8050056,84.78178368,85.0269438,84.3692534,86.01834862
8041.05,83.62075889496495,84.19039524,82.16666667,85.10383387,86.32193495,83.61204013
8041.06,76.6714046610758,76.95888285,79.78552279,80.596191,78.99276572,80.3127618
8041.08,75.21023135798144,75.6039604,75.07886435,76.87400319,76.62660588,73.21116928
8041.09,76.9950097095867,77.23823976,79.92753623,83.48868176,80.32554848,78.53589197
8042.01,76.48622757473738,76.85810811,76.89027857,78.12675266,78.85527877,82.45614035
8042.02,78.08773733208231,78.75996016,76.24872579,77.28859059999999,75.5,77.08388463
8043.05,84.67550793331658,85.30981666,83.31852509999999,83.24988621,86.76540849999999,85.90230321
8043.06,79.70081696614366,80.13085399,80.39889959,81.34680135,82.20796759,84.34841783
8043.08,84.09984518832096,84.96503497,81.0485184,83.27943079,80.81279147,81.11498258
8043.09,77.47886053657845,78.13432836,71.3091922,72.66993693,78.89030612,81.45738452
8043.1,77.43312518637661,77.78695293,77.58381274,80.03689281,80.84242035,76.0475162
8043.11,84.12230385893194,84.96438934,81.36786523,81.68533853,81.55858020000001,80.49921997
8044.03,83.73410985313215,84.28527323,82.97213622,84.54121306,86.62166309,84.60414841
8044.04,82.34927572900418,82.81186509999999,86.863711,85.37581699,82.52080856,85.91269841
8044.05,86.73824852686946,87.4301676,87.47081712,89.01601831,86.28649016,82.54750176
8044.06,80.80489691759563,81.44393241,81.69613621,80.68001271,78.59733978,76.52335292
8045.05,82.32743677792224,83.26379229999999,78.49462366,77.63561924,77.4060495,76.54085045
