tract,percent_black_2016,percent_black_2015,percent_black_2014,percent_black_2013,percent_black_2012,percent_black_2011
1706,0.05017977942908784,0.052519517,0.023792358,0.02252907,0.021140053,0.020123838999999998
1707,0.003541208463614385,0.0027662520000000003,0.002825857,0.0,0.0,0.0
1708,0.000728467533968935,0.0,0.0,0.0,0.0,0.0
1709,0.0382190369602884,0.042220937,0.005205321,0.050574713,0.04548105,0.0672748
1710,0.05251614493887527,0.052530919,0.042898478,0.017496635,0.017349261,0.002103365
1711,0.020826171138753232,0.020683021,0.013154803999999999,0.0,0.0,0.015628645
1801,0.01186697418189625,0.011406844,0.01013856,0.007574358000000001,0.017661603999999997,0.015274313999999999
1901,0.01672495453526539,0.01447619,0.030147059,0.022837887999999997,0.026022305,0.052075472000000005
1902,0.0181926789383587,0.017885888,0.014576747,0.015606242,0.012446067,0.002182673
1903,0.008971797221799624,0.008372093,0.006427916,0.0,0.001708428,0.0012371860000000001
1904.01,0.0002332933607741345,0.0,0.0,0.0,0.040484047999999995,0.041495568999999996
1904.02,0.019094580530017044,0.017767478,0.025850926,0.02113718,0.033870639,0.029495179
1906.01,0.07055307799959654,0.073269436,0.042704625999999996,0.033094435,0.050961109000000004,0.050578362
1906.02,0.02254093566318907,0.020242915,0.048243115,0.089074326,0.098852426,0.114026236
1907.01,0.020332618357568593,0.019792016000000003,0.018554688,0.020856202,0.011584327,0.027230047
1907.02,0.047174518096789304,0.04605621,0.051669941,0.042453788,0.044968833,0.035690681
1908,0.004767739601378499,0.004600089,0.004941142,0.030285466,0.032624742000000005,0.02928385
1909,0.025330688795382188,0.026263627,0.03111588,0.102135562,0.139194139,0.140946502
1910,0.03871072549180507,0.038293217000000004,0.037228542,0.044869565,0.027573529,0.02011041
1911,0.028111925437704452,0.028401585,0.030241935,0.072873958,0.081410423,0.119258061
1912,0.012343892397085087,0.01016002,0.025157232999999998,0.01855192,0.022936922999999998,0.026733722
1913.01,0.07547666587176675,0.070988198,0.117488638,0.115752391,0.136735034,0.15119811
1913.02,0.06674909616658803,0.06711777599999999,0.052083332999999996,0.024637392999999997,0.006493506,0.006107492
2001,0.014619796761388143,0.013981883,0.012165978999999999,0.008815309,0.0,0.0
2002,0.01721601080869523,0.016614746,0.01489533,0.007263923,0.008113956,0.005686126
2003,0.000728467533968935,0.0,0.0,0.0,0.0,0.0
2004.01,0.015040452828202083,0.013899048999999998,0.015731515,0.0,0.0,0.0
