tract,percent_bachelors_2016,percent_bachelors_2015,percent_bachelors_2014,percent_bachelors_2013,percent_bachelors_2012,percent_bachelors_2011
8137.02,6.007186855588083,5.662557781,6.046804511,6.095605701,7.851265822999999,7.515447153999999
8138.01,4.070337745235779,3.738317757,2.842360476,1.0144927540000002,0.850550603,1.05387714
8138.02,6.02814432811962,5.4644808739999995,5.883470621,6.08754468,5.0950207469999995,5.972303555
8139.0,4.956749715818986,4.504916533,4.735185185,4.545597335,4.658463385,5.007585721
8140.0,9.793271485327256,9.272918862000001,8.094795436,9.702486987,8.675737393,8.680292683
8141.0,8.75647674703417,7.973102786,9.224118208,9.926108033,6.973067253,5.657721345
8142.0,6.0603427853103184,5.757026292000001,6.180046404,6.108433735,8.366838932,8.648877805
8143.0,7.4223066029184785,6.90625,8.023663055,6.37145305,5.4931937170000005,5.842884739
8144.0,8.215051380893263,7.578676943,8.572274882,11.65895932,11.78392926,11.61038856
8145.0,11.717390114276506,10.91759813,14.86227691,14.39283909,12.72181237,11.43844852
8146.0,13.880692372476954,13.17460317,13.10875102,15.55266854,13.40506433,11.67649077
8147.0,21.578200651829516,21.36253041,18.52087287,15.78957639,14.65586207,13.67119622
8148.0,24.204413176287087,23.57282396,25.89810853,25.3997293,24.31030814,24.32103691
8149.0,13.890575271677637,13.62036845,11.29685601,10.34957433,10.10803115,11.68596659
8150.0,15.959722959023605,15.19163763,13.88500707,19.37492604,17.08016997,17.294122199999997
8151.0,20.46870893348204,20.15898251,19.41976941,12.69618395,9.821746293,8.851546392000001
8152.0,13.123031933836312,13.09850243,12.21635168,11.17208752,15.29580555,16.41099698
8153.0,21.514887852068007,20.69425901,21.14231023,25.31208791,22.91158362,24.5625
8154.0,30.468488225451456,29.96323529,27.53577942,30.37913801,28.78375532,30.319833600000003
8155.0,17.1277905902968,16.4506321,19.55693589,16.66152939,14.40728581,11.99460515
8156.0,23.228958350653418,22.90152844,24.18833127,23.64682266,25.67354028,22.0609293
8157.01,62.04777747677902,61.51634926,61.37148951,58.34875744,54.29273997,51.16080808
8157.02,56.935589030958894,56.86378036,51.62749291,53.83004683,54.65915940000001,56.50314534
8158.0,42.5695164905097,41.97324415,42.07990315,45.56666667,44.98509772,44.15546493
8159.0,49.09738301217469,48.870536799999996,44.46713133,39.48293481,35.04956204,38.60471464
8160.0,46.635210273037146,46.32430531,42.55175439,45.61553683,45.23448912,40.06700077
8161.0,39.623824678951124,39.48954984,38.98553055,39.10737656,42.21169313,39.98145708
8162.0,19.815985160829033,19.61052272,15.91159623,15.56053422,15.24331945,16.02518076
8163.0,11.571297033006713,11.48012552,8.795744681,8.407654723,10.57668187,9.386416596
8164.01,5.197480763199705,4.575862992,6.180315638,6.6396946560000005,6.031493318,7.832363213
8164.02,8.852625831976466,8.449270445,8.624598587000001,5.8120025470000005,4.938996392,5.432859079
8165.0,9.179378213954436,8.338597599,9.590125495,11.37940177,8.285572842999999,8.832134293
8166.0,7.06101907759345,6.423982869,6.04625,6.340594059,3.7596341460000002,2.7362784469999997
8167.0,12.428456058512392,12.03605514,9.723451562000001,10.45404431,9.608745445,6.550405186
8168.0,24.39803215827918,23.68874661,25.18233675,23.56539028,20.13211571,18.0746634
8169.0,14.924434772936614,14.25427873,13.72021703,16.48263045,14.57726951,10.14771668
8170.0,13.953001929178914,13.44902386,12.36385238,12.80017396,11.31012658,11.44053834
8171.01,15.875916375911213,15.05555556,15.63671809,15.89105691,11.49569892,9.989920949
8171.02,13.566897930934523,13.15789474,12.68301067,17.25379048,19.87043545,20.92357757
8172.0,14.582661265135235,14.30454845,11.07342302,12.46993976,12.69380619,13.38465425
8173.0,7.233734617099311,6.843013226,7.699135269,4.125112108,3.5809029580000002,5.376649746
8174.0,15.904994925500397,15.90335377,13.30949302,11.52608696,14.05554511,12.9336856
8175.0,11.50331811991338,11.02966841,11.57556779,11.34597156,11.27323009,8.891358025
8176.0,12.167765470707852,11.74242424,11.37095116,10.7897824,10.3768222,9.085896597
8177.0,14.342738531045029,13.77390462,15.31622196,13.48888889,12.02560748,12.350507
8179.0,23.09515260547209,22.704471100000003,21.15177642,20.99053708,20.06291694,18.43015404
8180.0,17.989243981730997,17.88548753,13.627942000000001,14.62558005,15.98287915,14.76838147
8181.0,38.004101735540516,37.82051282,33.36205357,32.68268551,31.45295091,37.95178571
8182.0,34.74163054156989,34.01793463,29.81690768,34.66621955,29.79922481,31.20686082
8183.0,15.07781212362943,14.59140004,16.61461066,15.82507778,16.4120272,19.31000209
8184.01,25.82275889454736,25.18142235,25.32863867,29.18206945,28.60700361,30.35420757
8184.02,33.638154355557845,33.66733467,30.65849057,26.7227652,27.71336731,26.79216495
8185.0,39.15379054571166,39.54956851,32.57461929,31.18292577,35.02196162,34.91612354
8186.0,38.752779770370765,38.88289261,38.19925174,33.57975973,37.31469795,37.64202172
8187.0,40.93894721827118,40.92362345,39.760687700000005,31.97990213,31.57198889,32.30762393
8188.0,32.33693182643435,32.48743117,28.85285215,27.80995117,31.54347621,34.45064338
8189.0,37.47043360548645,36.99110272,35.11832461,36.98531529,35.48391329,35.39353772
8190.0,68.08779436836716,67.56418284,66.00055607,62.38100559,56.78779343,57.62026699
8191.0,21.78049196787745,21.40242185,19.94060041,21.3236755,21.54241645,18.77923826
8192.0,11.655479267938288,11.15257048,12.75506253,15.02617221,16.86321562,16.43968539
8193.0,25.513202838988907,24.65564738,31.99591398,27.64542974,25.52524776,30.15171281
8194.0,28.629294869944413,28.12872467,28.75359199,27.33189295,25.93231293,21.48006976
8195.0,44.25547228284684,44.07484407,42.04730464,38.78559499,38.00205339,35.79348466
8196.0,64.30112817452954,63.77101681,62.96600312,63.60990854,61.06397220000001,58.63312972
8197.0,72.52425678968615,72.13072568,73.7508079,73.14216867,73.50010301,72.52281299
8198.01,74.39697112088378,74.23174514,74.66644068,73.82142657,76.01189918,74.57002599
8198.02,73.14147590692058,72.84634761,73.69241968,70.49918987,70.02119701,68.54427324
8199.0,72.33134279239317,72.26308957,68.60750853,69.19672059,70.13536309999999,68.38727106
8200.0,74.46578845523976,74.24033149,75.87515337,71.62762855,72.08484387,70.93299453
8201.01,52.90283892247696,52.31673582,52.68331935,54.21706938,52.65390954,52.21819157
8201.03,30.067209026486687,29.808917200000003,28.96477841,28.359517600000004,29.34901159,29.71273087
8201.04,28.55907965172261,28.07866868,30.09381411,30.96918317,32.29030436,35.20401097
8202.01,46.059613181441804,45.92071024,43.07618165,40.62484177,40.13487017,40.27477133
8202.02,19.985471290312034,19.60352423,17.57975938,14.37174064,11.50151924,10.61639344
8203.0,13.233231682170377,12.56676975,14.26290503,14.55756303,13.17511898,14.87992701
8204.0,8.781798712357343,8.267370273,8.17949506,7.512473472999999,6.1913516070000005,7.254974582000001
8205.01,16.89835970094787,16.46594684,13.02037945,14.51672384,12.55315744,11.21384615
8205.02,15.882301001839531,15.4025128,14.94684621,12.13546753,9.593588163,10.47988827
8206.03,9.997008739487814,9.628681177999999,9.223238907,10.09843621,11.2774789,12.76515377
8206.04,8.973147736189993,7.980900409,11.95714286,15.73254786,14.04329933,11.49772404
8206.05,17.716943922543194,17.4403183,19.032947399999998,22.94095989,28.53261549,27.98483412
8206.06,27.039662286784388,26.18816683,26.51137966,27.54689564,22.73974402,17.40829694
8207.0,12.154222290987079,11.76699029,8.687526756,9.789636689,8.595449621,8.652831389
8208.0,11.895043165930014,11.57619359,12.53968254,13.12889398,15.88339298,14.38661504
8209.01,11.546014482133698,10.88613626,11.57633551,12.05882086,10.07379973,9.5
8209.02,7.464648049219031,7.101248266,6.23960852,7.7299823629999995,9.0,7.857492711
8210.01,12.666568985706474,12.19325153,14.33707836,11.51729363,11.27111111,10.63940455
8210.02,11.35318182435306,10.84421642,11.37711397,11.3696031,10.95373459,10.22911969
8211.01,17.865024700549863,17.52265861,17.73536413,15.472196199999999,15.54993088,13.5364647
8211.02,10.398579838867638,9.940044177999999,11.68009302,12.36359071,14.01802493,15.41619742
8212.0,12.18411675395816,11.54336735,12.90449583,12.94752475,11.50358224,11.13710145
8213.0,9.27009573173675,8.957055215,10.97307015,5.962903226,6.53305336,4.591578688999999
8214.01,11.77679552247341,11.32012093,8.867924528,9.49390681,7.646875,7.710175564
8214.02,16.768676567711083,16.22397703,18.65230983,17.21306533,16.96706908,15.95949278
8215.0,10.295020824914197,9.852216749,11.00652699,8.625878833,8.26109215,7.627383367
8216.0,24.389838243120998,23.96396396,25.92194685,26.01311475,27.64224888,28.79509411
8217.0,45.78697911795369,45.25052192,40.61261111,39.10563572,32.47716168,31.28912489
8218.0,29.941724114565748,29.7061753,30.63269231,25.3528839,25.44621534,24.669921300000002
8219.0,29.586457459161632,29.62867457,28.28157424,26.78499617,30.79239323,32.0818662
8220.0,15.291805321523057,14.54439252,15.04072896,17.15190291,14.70923864,14.31141553
8221.01,21.182233800350268,20.75363974,20.65572519,19.20191967,18.28556933,21.07586207
8221.02,23.546486449777124,22.940099399999998,21.51741458,25.62330951,24.39988969,26.42545556
