tract,percent_pub_trans_2016,percent_pub_trans_2015,percent_pub_trans_2014,percent_pub_trans_2013,percent_pub_trans_2012,percent_pub_trans_2011
5603.0,13.056021257880197,12.35714286,7.164634146,10.45994065,13.49036403,13.6400986
5604.0,14.958002530168507,13.96648045,17.30038023,14.71172962,21.14197531,11.40684411
5607.0,11.947472075150227,11.41522029,10.764119599999999,11.41340411,12.20889203,12.00237671
5608.0,9.809040654254106,9.129362002,9.312320917000001,13.10088016,15.02096836,12.749315600000001
5609.0,10.111515269669995,9.59555908,9.936406995,7.803700724,8.197389886,7.163681799
5610.0,11.765574362498091,11.47267418,10.43516874,10.41666667,8.510638298,9.45709282
5611.0,13.014955346257924,12.77399849,12.4535316,12.48108926,10.13462977,10.88659794
5701.0,13.623756820336201,13.27014218,12.5,18.60816944,17.36227045,18.27768014
5702.0,12.125452868942201,11.55234657,13.04347826,13.77672209,14.92537313,15.94896332
5703.0,17.234815454914173,16.68862538,14.57370853,15.46914624,17.35395189,17.59504863
5704.0,17.88464427839103,17.72665765,19.57605985,14.89071038,12.48185776,9.88372093
5705.0,19.16654556228601,18.69991095,13.58885017,12.97497683,14.53154876,16.66666667
5801.0,18.360469221424076,17.78127459,17.56756757,18.89328063,21.19155354,20.18813314
5802.0,20.43400919678566,19.82128351,20.9833795,16.65299426,19.86851717,16.36240703
5803.0,19.262391935557503,18.89534884,14.48979592,12.71477663,13.16455696,17.33086191
5804.0,25.114560023634652,24.947589100000002,22.19644238,22.68722467,21.57153447,17.94117647
5805.01,16.627406038220077,16.22610817,13.30357143,16.89902831,16.94630872,16.74662015
5805.02,13.214595023284195,12.88888889,14.01392111,14.68213925,13.20934669,18.18181818
5806.0,17.590321639281726,16.84853776,20.5061082,19.30212014,23.21354812,22.75890299
5807.0,20.725872899876567,20.40911204,19.98292058,20.189701899999996,19.94408201,18.74077718
5808.0,25.83976634113636,25.92592593,24.28057554,18.7732342,15.12195122,18.31750339
5905.0,23.087575405457216,22.37600923,24.48512586,22.49690977,27.08571429,17.402597399999998
5906.0,22.53676881214892,22.18406593,26.98313554,25.23961661,25.45994065,28.43315185
5907.0,20.5378274903119,19.86206897,25.12455516,19.02017291,22.7997228,25.83120205
6004.0,20.14950486790682,19.46519858,18.99240304,21.95121951,25.66915314,29.14961346
6006.0,28.637912909045962,28.60230548,29.64458805,28.17725753,25.98551891,25.91273375
6007.0,27.503378274011464,27.11267606,25.49019608,18.23788546,20.38327526,24.11604714
6009.0,22.02047291139903,21.55532359,21.1751663,22.01514269,23.63530778,20.77681874
6103.0,16.514444457908333,15.74690771,14.89257813,16.92894611,21.08464268,19.62851406
6104.0,21.68135503727586,20.93352192,13.81381381,12.12598425,17.478991600000004,13.38028169
6108.0,14.32957479457035,14.13189771,20.0,18.69436202,15.73676681,10.31976744
6110.0,23.96593542823265,24.08163265,25.0,24.24242424,19.54545455,17.06161137
6111.0,21.9591742495245,21.82044888,20.07211538,25.76470588,23.48916762,24.87922705
6112.0,26.610997122622706,27.05718271,29.9382716,24.05660377,16.149870800000002,19.42196532
6113.0,15.98260571016365,15.5450237,24.97512438,24.62462462,24.39281943,20.99712368
6114.0,26.024913479153646,25.80403889,26.31959508,18.96103896,18.7994723,11.4801444
6115.0,14.85205354780884,14.49579832,18.27242525,17.51824818,16.55992681,12.04819277
6116.0,31.019691536904254,31.3174946,22.90502793,29.76939203,24.33460076,28.5971223
6117.0,20.893806812362513,21.25279642,27.04402516,20.73578595,12.74131274,21.86732187
6118.0,25.31253956380516,24.52316076,17.62962963,32.63157895,38.17204301,38.28502415
