tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
8016.05,110791.90478842158,107778,111392,108352,95278,97316
8016.06,116432.21355410361,115000,113929,104875,105405,102273
8016.07,80600.59377292877,78969,82324,89500,87153,79231
8016.08,110739.55253836163,112929,97083,99417,115294,113558
8017.01,147772.8379567191,145469,137333,150602,128250,126161
8017.02,119523.24439855336,115759,123875,125063,113051,108938
8018.0,122325.02109399684,121331,117969,113244,115724,112394
8019.01,77182.36715650035,77500,72338,70764,76875,69509
8019.02,142711.54243882425,141719,136932,139583,142850,140729
8020.02,94466.57058677137,93621,92229,99792,101047,105444
8020.03,91280.31513705927,89604,91944,87917,86302,106417
8020.04,45039.405600313345,44661,46849,46770,51905,54018
8021.0,133333.5524702783,131607,131250,132321,133162,128631
8022.0,99002.71601511122,97963,103500,103452,119145,123214
8023.0,90003.65216501518,89762,89896,82043,95653,94907
8024.02,56391.784591270356,56344,48510,49479,39557,43194
8024.03,61914.666423362025,60982,61719,59464,57756,53984
8024.04,45138.39213838166,44279,48217,44102,46838,49135
8025.03,73530.55890945332,72576,73302,70778,71432,69568
8025.04,75399.12621651925,74627,73125,72121,70664,63639
8025.05,50373.643246678745,49953,52016,52229,57692,63782
8025.06,51461.094242016035,50150,55603,55531,56354,53506
8026.05,80271.67289074755,80395,74883,74354,77583,76673
8026.07,80534.91609523066,80250,73750,65341,61563,59327
8026.08,59707.08576776688,58022,63736,65979,63818,62966
8026.09,52211.529861164105,51850,50760,50118,49942,48314
8026.1,85707.737514296,84375,86125,85833,86042,93750
8027.01,75289.83543169871,74656,74375,86417,88223,81367
8027.02,80197.5135474607,78992,80495,85167,84830,84709
8028.01,91526.60960630854,89643,91827,88922,84013,80417
8028.02,88320.59943721676,86505,85951,80040,69598,66857
8029.0,103665.42937823135,102725,100417,92292,93920,98973
8030.05,68405.54167348189,67976,63405,55625,51250,53819
8030.07,110848.70292006299,110248,104059,99182,98278,95104
8030.08,93716.76984496378,92350,93750,98795,99044,95735
8030.1,103932.19478371622,102759,102629,86923,90962,86440
8030.12,71499.16732886287,70302,69595,66736,60407,63370
8030.13,81133.08010307077,80785,76181,80712,79054,77244
8030.14,57515.51860838545,56473,57378,69783,64400,77500
8030.15,71558.24982083189,70833,71458,70370,73398,71792
8030.16,81752.32915000296,81484,76300,72200,71400,71976
8030.17,80762.6829809419,80136,78417,67426,69773,73070
8031.0,104530.09117366458,103167,102326,105000,103068,99631
8032.0,77242.0247144125,76696,77750,81705,88966,88530
8033.0,77086.70719299528,77120,67004,62552,54017,57059
8034.0,107300.48543424846,106518,98542,101900,92850,94643
8035.0,90532.37669275695,89338,89375,90353,89679,89975
8036.03,119464.84137183675,119107,112222,120759,122300,121515
8036.04,73334.25652181263,72500,72344,73878,73797,71085
8036.05,86590.68157050922,85179,91083,88162,96929,90136
8036.06,42896.476818573574,43592,37182,36134,36837,38980
8036.07,104587.67242459285,102388,104308,100077,93309,92841
8036.08,71370.14473604692,70170,74170,73374,77171,76934
8036.1,72766.72993756403,71491,74114,76446,76143,72643
8036.11,51223.78353815596,50156,55185,51651,55230,59716
8036.12,50381.827779868356,50141,49388,58106,58977,63173
8037.01,66876.51282721962,65714,68324,65954,66333,69093
8037.02,79764.37915559793,78661,81135,85096,88304,82027
8038.0,84803.46559707893,84474,79167,81563,79671,82727
8039.01,59499.58882086963,59130,58276,56290,58333,61414
8039.02,79602.89464698368,80000,70257,70764,68194,66361
8040.0,62363.83907388071,62108,61595,59696,64727,64036
8041.02,127517.51794816107,126014,123553,125764,123611,119087
8041.04,103019.61213415221,101480,99938,92763,87485,88942
8041.05,119325.513687161,116714,122228,128213,125981,123702
8041.06,96381.29121116709,97679,84136,93155,97712,98711
8041.08,70985.40537315416,69729,68413,66250,57559,57261
8041.09,83888.51312897963,82778,84420,83859,86538,91111
8042.01,154572.07387003966,153214,141688,151250,136528,146974
