tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
8030.07,0.4427520646230082,0.447,0.434,0.41200000000000003,0.349,0.34600000000000003
8030.08,0.32464087057184654,0.32799999999999996,0.327,0.375,0.365,0.32299999999999995
8030.1,0.3906694852389053,0.39299999999999996,0.363,0.312,0.336,0.332
8030.12,0.24391016690659653,0.242,0.188,0.18,0.152,0.187
8030.13,0.3164599258448688,0.318,0.285,0.309,0.276,0.247
8030.14,0.20919308180013416,0.21,0.20800000000000002,0.273,0.313,0.389
8030.15,0.2762151438669569,0.276,0.264,0.23199999999999998,0.251,0.262
8030.16,0.2842494208109758,0.28300000000000003,0.255,0.205,0.177,0.185
8030.17,0.2481115284287692,0.248,0.258,0.243,0.261,0.264
8031.0,0.39048355604124074,0.39399999999999996,0.39399999999999996,0.366,0.379,0.361
8032.0,0.25197177464261833,0.253,0.259,0.292,0.29100000000000004,0.314
8033.0,0.30580412135765633,0.306,0.281,0.257,0.233,0.23800000000000002
8034.0,0.3238052827928365,0.326,0.313,0.345,0.287,0.27
8035.0,0.25900468503656204,0.26,0.264,0.29100000000000004,0.28600000000000003,0.297
8036.03,0.3760014421284045,0.38,0.34600000000000003,0.37200000000000005,0.41,0.39799999999999996
8036.04,0.27353127925996734,0.275,0.305,0.31,0.31,0.278
8036.05,0.3279076124581405,0.331,0.34700000000000003,0.345,0.4,0.33299999999999996
8036.06,0.05822785974380724,0.053,0.040999999999999995,0.07,0.073,0.066
8036.07,0.47354764607335387,0.479,0.501,0.447,0.423,0.434
8036.08,0.19563121766952843,0.195,0.175,0.22,0.25,0.226
8036.1,0.2710369690548121,0.272,0.28600000000000003,0.28800000000000003,0.289,0.27699999999999997
8036.11,0.21392980734889266,0.212,0.201,0.18,0.18,0.19
8036.12,0.1535480601154891,0.152,0.124,0.203,0.19,0.146
8037.01,0.2853169342376026,0.285,0.281,0.24,0.225,0.22399999999999998
8037.02,0.3077649094750158,0.311,0.34,0.377,0.36700000000000005,0.342
8038.0,0.3484167323319325,0.35100000000000003,0.364,0.34700000000000003,0.331,0.33899999999999997
8039.01,0.19627590941362755,0.195,0.18100000000000002,0.2,0.21899999999999997,0.242
8039.02,0.2600983850427886,0.26,0.244,0.24,0.252,0.235
8040.0,0.2598421798235906,0.259,0.251,0.218,0.215,0.20199999999999999
8041.02,0.34170779667416573,0.34299999999999997,0.325,0.27899999999999997,0.305,0.331
8041.04,0.40363808265427203,0.40700000000000003,0.38299999999999995,0.366,0.34600000000000003,0.313
8041.05,0.48537171248398525,0.494,0.491,0.5589999999999999,0.547,0.504
8041.06,0.2992544564826215,0.301,0.273,0.309,0.307,0.35700000000000004
8041.08,0.25282941967982464,0.25,0.184,0.146,0.106,0.094
8041.09,0.22598363401406518,0.226,0.24600000000000002,0.253,0.268,0.287
8042.01,0.22986844623734953,0.23,0.244,0.256,0.271,0.312
8042.02,0.3756683224774172,0.37799999999999995,0.35700000000000004,0.336,0.299,0.37200000000000005
8043.05,0.2703069827758442,0.27,0.252,0.235,0.23399999999999999,0.215
8043.06,0.18522811300295233,0.183,0.18100000000000002,0.177,0.166,0.125
8043.08,0.2540679612155866,0.253,0.26,0.222,0.191,0.19699999999999998
8043.09,0.22639179971563023,0.225,0.142,0.18,0.20199999999999999,0.16899999999999998
8043.1,0.3699361584386305,0.374,0.39399999999999996,0.415,0.36200000000000004,0.376
8043.11,0.30683573846464807,0.31,0.311,0.36200000000000004,0.375,0.413
8044.03,0.2176488241775044,0.217,0.231,0.23399999999999999,0.23,0.23399999999999999
8044.04,0.2803944911817321,0.28,0.27,0.225,0.244,0.24
8044.05,0.06577276309529162,0.062,0.131,0.14,0.13699999999999998,0.161
8044.06,0.15676019267491828,0.155,0.175,0.18899999999999997,0.215,0.171
8045.05,0.1854643716477237,0.184,0.158,0.19,0.215,0.198
8045.06,0.30565456242951194,0.309,0.32,0.37,0.385,0.442
8045.07,0.44726168501493035,0.45299999999999996,0.456,0.45299999999999996,0.44299999999999995,0.43
8045.08,0.13925173260897963,0.135,0.129,0.087,0.126,0.151
8045.09,0.24633991787531123,0.245,0.266,0.198,0.21600000000000003,0.17800000000000002
8045.1,0.13276504675967787,0.129,0.122,0.127,0.105,0.078
8045.11,0.08031018189268008,0.076,0.125,0.10400000000000001,0.132,0.126
8046.03,0.13188919365704999,0.128,0.125,0.109,0.128,0.157
8046.06,0.3890857004955266,0.392,0.381,0.341,0.355,0.395
8046.07,0.4336177749905511,0.43700000000000006,0.436,0.374,0.33399999999999996,0.36
8046.08,0.2725048878536328,0.272,0.21600000000000003,0.20600000000000002,0.249,0.26899999999999996
8046.09,0.34244216211354306,0.34299999999999997,0.319,0.284,0.21,0.23600000000000002
8046.1,0.2164752355130533,0.215,0.256,0.21100000000000002,0.195,0.191
8046.11,0.2033293460354262,0.201,0.184,0.154,0.18600000000000003,0.213
8047.01,0.19952771147091844,0.198,0.239,0.21600000000000003,0.185,0.222
8047.05,0.21118996987719862,0.21,0.201,0.198,0.23,0.273
8047.06,0.4667130589826962,0.47100000000000003,0.415,0.382,0.38299999999999995,0.34700000000000003
8047.09,0.15008801742916889,0.147,0.122,0.132,0.157,0.11699999999999999
8047.1,0.27930075264713483,0.282,0.29,0.345,0.368,0.35
8047.11,0.20573293941756401,0.205,0.18899999999999997,0.217,0.243,0.193
8047.12,0.33214504540026024,0.336,0.33299999999999996,0.387,0.39399999999999996,0.402
8047.13,0.25992710428963905,0.26,0.28800000000000003,0.252,0.26899999999999996,0.252
8047.14,0.39146995487733016,0.395,0.377,0.385,0.335,0.294
8047.15,0.21797327261578206,0.215,0.182,0.133,0.142,0.142
8047.16,0.3276166900963454,0.331,0.33399999999999996,0.366,0.386,0.391
8048.03,0.34629694560842383,0.35100000000000003,0.349,0.41700000000000004,0.42700000000000005,0.385
8048.04,0.22911620534226718,0.22899999999999998,0.257,0.254,0.254,0.214
8048.05,0.28416766606251354,0.28600000000000003,0.258,0.3,0.33899999999999997,0.33799999999999997
8048.06,0.23297950149516805,0.233,0.226,0.248,0.263,0.23
8048.07,0.1854974479700579,0.184,0.175,0.19899999999999998,0.20199999999999999,0.239
8048.08,0.27810206959752315,0.27699999999999997,0.255,0.214,0.18100000000000002,0.23800000000000002
8048.09,0.39960181489042856,0.40299999999999997,0.38299999999999995,0.348,0.38799999999999996,0.355
8048.1,0.21197939377651,0.21,0.231,0.17600000000000002,0.198,0.22899999999999998
8049.01,0.22659560516340868,0.22699999999999998,0.249,0.264,0.29100000000000004,0.28300000000000003
8049.02,0.37080683553500227,0.374,0.379,0.37200000000000005,0.34,0.39799999999999996
8050.01,0.321401984457359,0.32299999999999995,0.29100000000000004,0.304,0.29100000000000004,0.292
