tract,percent_disability_2016,percent_disability_2015,percent_disability_2014,percent_disability_2013,percent_disability_2012
1603.0,10.98130760464801,11.0,10.9,12.7,11.6
1604.0,12.184512784596047,12.2,11.9,9.3,9.4
1605.01,10.887650278101562,10.9,11.3,13.2,9.7
1605.02,7.396250956708127,7.1,8.5,9.9,9.2
1606.01,8.27806946172013,8.0,7.3,6.2,10.1
1606.02,7.799603548703592,7.5,8.4,8.2,9.4
1607.0,16.971465319861736,17.5,16.6,18.5,18.6
1608.0,6.981742190018286,6.6,6.7,5.9,6.2
1609.0,4.918398386418804,4.5,5.2,10.2,10.9
1610.0,9.838400439542225,9.7,8.6,7.8,7.4
1611.0,8.84894099737961,8.7,9.7,12.1,12.9
1612.0,7.191538398648438,6.9,8.0,10.3,11.1
1613.0,8.536977538126532,8.4,7.9,11.8,11.0
1701.0,22.095801923257326,23.1,19.5,23.0,22.3
1702.0,10.081567939019953,10.0,10.1,10.9,12.8
1703.0,9.711913071025696,9.6,7.7,8.4,8.6
1704.0,10.177127430726324,10.1,9.5,10.1,11.3
1705.0,6.954292210374352,6.6,7.5,8.0,8.9
1706.0,12.254739277542276,12.3,13.5,12.0,10.4
1707.0,7.054865735762746,6.7,7.3,7.4,6.5
1708.0,9.708864805307194,9.6,8.6,9.5,10.3
1709.0,13.62914052586701,13.8,13.6,12.4,10.2
1710.0,8.315680728420132,8.1,9.2,10.7,10.6
1711.0,8.70498610700784,8.5,7.1,7.5,6.7
1801.0,9.724145729390205,9.6,8.5,8.7,12.1
1901.0,13.15957457288418,13.2,14.4,9.5,12.9
1902.0,9.311125084589978,9.1,10.6,8.8,8.9
1903.0,12.879842318004952,13.0,12.4,11.7,10.1
1904.01,8.246600336032479,8.0,6.9,7.2,7.9
1904.02,7.21153093057293,6.9,8.1,9.5,11.3
1906.01,7.383477049466125,7.1,8.8,10.8,10.8
1906.02,7.156416155561204,6.9,8.1,12.0,12.9
1907.01,6.1390014713336445,5.7,7.5,7.4,11.5
1907.02,6.790868043727343,6.5,5.5,9.1,8.2
1908.0,10.856565174286287,10.8,10.8,9.9,9.5
1909.0,10.540646171793078,10.5,9.3,10.1,11.0
1910.0,10.568462180081141,10.5,10.2,9.8,8.9
1911.0,9.443627388511686,9.3,10.0,10.5,13.5
1912.0,7.8962275449367105,7.7,7.4,11.1,10.7
1913.01,10.382502429185836,10.2,13.0,8.7,9.7
1913.02,7.878672412964788,7.6,7.1,7.4,12.7
2001.0,11.54742192289066,11.6,9.8,10.9,9.7
2002.0,17.965246333908603,18.5,16.9,15.5,14.3
2003.0,6.833511337337607,6.5,6.0,7.7,9.8
2004.01,12.660057637501259,12.7,14.7,11.6,11.5
2004.02,9.047557024002298,8.9,12.0,13.9,18.1
2101.0,10.66538258806995,10.6,10.5,9.9,8.3
2104.0,9.731149538348834,9.6,7.3,7.1,5.8
2105.01,6.284818931374845,5.9,5.5,7.0,9.4
2105.02,6.406594692049894,6.0,6.2,6.4,6.5
2106.01,7.218301930579457,7.0,7.1,12.3,10.6
2106.02,9.744289474234968,9.6,8.7,8.0,5.2
2107.0,12.357000152366735,12.4,11.5,9.4,6.4
2108.0,6.212300237311466,5.8,5.3,5.9,5.2
2109.0,13.33502861034154,13.5,13.4,13.0,10.4
2203.0,4.773140168483337,4.2,4.3,3.3,4.1
2204.0,5.212504287859421,4.7,6.5,6.6,10.9
2205.0,6.0333503094596415,5.6,5.8,6.2,5.9
2206.01,11.404262692610743,11.4,12.1,11.5,11.4
2206.02,7.602650864203885,7.3,7.2,7.5,4.6
2207.01,11.094806250198673,11.1,10.5,11.3,11.1
2207.02,7.792774959978326,7.5,6.8,6.8,4.6
2209.01,11.80037265261063,11.8,14.5,12.8,6.2
2209.02,7.9277146638525995,7.6,6.0,4.0,4.5
2210.0,8.4685595861387,8.2,8.6,7.3,8.5
2211.0,8.659503349318085,8.4,10.2,8.7,8.7
2212.0,5.23660357594431,4.7,6.4,5.4,5.5
2213.0,6.326706160383757,5.9,5.5,5.1,8.8
2214.0,4.317929868833658,3.7,6.2,5.1,3.9
2215.0,10.907340384185513,10.9,11.2,12.2,10.4
2216.0,4.763088093806205,4.2,6.4,6.0,6.5
2222.0,2.8772000820840837,2.2,1.6,2.9,2.4
2225.0,11.673304439726108,11.7,10.3,9.9,9.2
2226.0,8.47357361982072,8.2,9.0,7.5,8.6
2227.0,6.37156005907934,6.0,4.9,6.6,4.6
2228.0,6.599981869266698,6.2,6.5,6.3,10.6
2229.0,7.362205197291027,7.0,7.5,6.2,3.9
2301.0,7.7986086610652885,7.5,9.2,9.1,9.3
2302.0,13.458467713139568,13.6,15.2,13.5,10.5
2303.0,11.179929645355543,11.3,12.1,17.5,17.7
2304.0,10.764595197175908,10.7,9.4,8.4,9.4
2305.0,18.206448065422812,18.8,17.1,17.3,13.9
2306.0,13.39338847356739,13.6,15.9,17.2,12.9
2307.0,13.485742472550138,13.6,17.2,14.4,19.4
2308.0,12.54057407794336,12.6,12.6,10.6,9.1
2309.0,16.89985390331998,17.4,17.0,18.0,14.9
2311.0,13.686662728459675,14.0,15.9,20.6,18.2
2312.0,14.197511058770331,14.6,14.7,21.2,19.9
2315.0,17.425209099884057,18.1,17.0,23.4,27.2
2402.0,9.500556718566658,9.3,11.2,9.2,8.8
2403.0,3.2014838098183547,2.5,2.8,2.0,1.7
2405.0,4.2681555606575845,3.7,3.9,4.9,3.9
2406.0,2.7706812381789563,2.1,3.7,5.8,6.1
2407.0,7.0064283365560165,6.7,8.8,11.2,11.3
2408.0,5.424157052074151,4.9,4.3,3.0,4.0
2409.0,13.114859907965476,13.3,15.8,17.2,17.3
2410.0,12.153264488717111,12.3,12.0,15.0,14.2
2411.0,8.485386220830065,8.1,15.0,9.2,9.6
2412.0,12.804753004296973,12.9,10.5,8.9,12.0
2413.0,3.413572219565656,2.8,2.7,4.8,5.1
2414.0,9.204270233438661,9.1,7.0,9.8,10.6
2415.0,2.0796972839673993,1.3,1.7,1.6,4.5
2416.0,3.8846442876663394,3.3,4.0,5.7,5.1
2420.0,12.421677376838302,12.6,12.7,16.1,15.7
2421.0,3.2705882095190986,2.6,2.2,2.4,2.6
2422.0,3.4870797871824872,2.8,3.2,2.0,2.3
2423.0,5.115910313024245,4.6,3.5,3.6,3.7
2424.0,8.34213582042576,8.1,9.2,9.5,9.8
2425.0,6.358610931603976,6.0,8.0,10.5,10.3
2426.0,10.010654998360813,10.0,8.4,12.3,9.9
2427.0,13.69541147557311,13.9,15.5,15.6,10.4
2428.0,8.442972176164195,8.2,4.8,4.4,4.0
2429.0,5.398004385909063,4.9,4.5,4.4,4.8
2430.0,6.369594291115823,6.0,3.6,5.3,7.2
2431.0,7.238766094493002,6.9,5.7,5.7,3.8
2432.0,2.348802633886354,1.6,1.4,1.6,1.0
2433.0,6.2440081860360666,5.8,4.4,3.5,4.9
2434.0,10.695950450320826,10.7,9.2,11.3,9.3
2435.0,4.581806369346732,4.0,3.9,3.2,3.5
2502.0,12.153194871828667,12.2,11.6,10.4,10.4
2503.0,14.97114136366938,15.3,15.6,16.3,13.0
2504.0,15.715594743997924,16.0,14.7,10.8,12.9
2505.0,8.728456536098557,8.5,9.5,9.0,10.7
2506.0,20.28306502460046,21.0,21.9,20.1,17.0
2507.0,17.43023511270946,17.9,16.7,14.5,13.9
2508.0,17.70785640078975,18.2,16.2,13.9,11.2
2510.0,14.106977579889369,14.3,15.0,13.1,12.5
2511.0,15.796913808834937,16.2,16.7,17.6,16.2
2512.0,18.95059661485999,19.6,25.1,25.5,21.4
2513.0,17.98240541583845,18.5,19.5,17.5,16.2
2514.0,18.783863757195263,19.4,19.1,18.3,19.3
2515.0,21.112729410202554,21.9,21.2,19.3,22.0
2516.0,14.484077916459679,14.9,17.2,23.4,18.7
2517.0,19.88879362695691,20.6,17.8,16.9,17.0
2518.0,14.035435780236057,14.3,15.8,17.2,19.9
2519.0,17.24833054334067,17.8,15.6,17.4,17.3
2520.0,14.695875879509828,15.0,16.2,16.9,17.6
2521.01,15.333235585650106,15.7,13.0,13.8,18.9
2521.02,17.90290692012953,18.4,17.6,14.9,16.7
2522.01,20.269199045510916,21.1,16.0,18.6,17.0
2522.02,18.01803532639753,18.6,12.8,12.9,14.4
2601.0,20.697854614868582,21.4,17.7,13.5,15.1
2602.0,11.4863618293622,11.6,11.7,15.7,11.1
2603.0,14.891053604456786,15.2,20.6,21.1,21.4
2604.0,14.906754585894966,15.3,15.3,18.9,14.6
2605.0,20.5548045969676,21.3,24.8,23.4,26.9
2606.0,18.154311939241147,18.7,15.8,14.1,11.4
2607.0,21.980761127106007,22.9,22.9,23.5,17.0
2608.0,19.422019123427397,20.1,20.8,20.4,20.3
2609.0,14.15561180159172,14.4,16.9,17.1,17.7
2610.0,12.523414996013509,12.6,10.0,8.6,8.8
2705.0,15.804610079591331,16.2,14.5,14.9,17.7
2712.0,19.882185868040352,20.7,16.7,20.2,17.6
2713.0,17.118532078755592,17.7,19.8,23.6,21.1
2714.0,17.72695724337003,18.2,23.0,20.3,16.5
2715.0,16.720235520983483,17.2,15.6,16.3,13.6
2718.0,14.666541727934208,14.9,15.4,13.2,11.7
2801.0,2.1604294903515706,1.4,1.5,1.9,2.4
2804.0,16.707216776619674,17.1,18.3,15.6,18.7
2808.0,15.150330114558155,15.5,13.8,14.6,20.1
2809.0,9.461112903595165,9.3,9.9,9.6,6.3
2819.0,3.835317604166227,3.2,3.1,2.8,2.0
2827.0,9.957133948583623,9.9,9.1,11.3,8.7
2828.0,6.008250119651598,5.5,7.8,5.3,4.1
2831.0,6.10351319960228,5.7,5.9,7.3,8.3
2832.0,7.604855455204354,7.3,7.2,7.4,13.7
2838.0,12.246676978141753,12.3,14.0,12.9,14.3
2909.0,19.257052806179736,19.9,21.8,20.6,16.2
2912.0,10.548230825119697,10.5,11.4,12.0,13.6
2916.0,13.600411225972469,13.7,13.2,9.1,3.6
2922.0,17.76766479041472,18.3,18.2,17.5,13.7
2924.0,17.338374347978025,17.9,20.1,22.3,20.6
2925.0,16.37718695791512,16.8,13.3,12.7,13.0
3005.0,9.515081578048317,9.3,10.6,7.9,5.9
3006.0,12.293753461066046,12.3,11.6,8.2,7.7
3007.0,9.531817042615296,9.4,8.9,9.5,8.3
3008.0,9.989144323148764,9.9,8.4,9.1,8.9
3009.0,13.758739762905629,13.9,15.1,12.3,9.1
3011.0,7.263772660099514,6.9,6.2,5.1,4.8
3012.0,8.852699718124118,8.6,6.0,3.8,3.9
3016.0,10.997792218008334,10.9,12.7,9.7,7.9
3017.01,13.028956440894161,13.1,16.6,13.6,12.2
3017.02,8.927398995874874,8.7,9.1,7.9,6.2
3018.01,12.5285802426158,12.6,10.5,8.9,6.5
3018.02,7.665897555504575,7.4,7.1,8.7,5.9
3018.03,12.572502856476671,12.7,12.2,12.9,12.6
3102.0,5.476507993979675,5.0,7.2,7.9,10.2
3103.0,10.900720597099257,10.8,12.3,9.5,12.5
3104.0,10.209503833935596,10.1,10.5,9.7,11.8
3105.0,8.298219220649742,8.1,6.4,8.5,6.6
3106.0,11.40821823585087,11.4,11.8,11.0,10.9
3107.0,8.457176616577076,8.3,5.8,9.0,6.7
3108.0,7.640192514015448,7.3,8.7,7.4,6.2
3109.0,7.235717828774499,6.9,6.6,6.8,4.1
3201.0,3.463975386735903,2.8,2.5,2.3,3.8
3204.0,5.847874218723091,5.4,4.9,5.3,6.5
3206.0,5.796324950994269,5.4,5.8,8.6,10.3
3301.0,6.4090140987742235,6.0,7.8,8.0,8.6
3302.0,11.002830259003446,10.9,10.2,6.8,7.4
3403.0,10.524666771827452,10.4,11.5,9.0,11.2
3404.0,5.110442640581413,4.6,2.8,3.1,4.9
3405.0,15.022067786488877,15.4,16.1,18.7,16.6
3406.0,22.695798759827106,23.6,21.5,18.8,17.7
3501.0,11.155213477419869,11.1,14.0,12.3,12.5
3504.0,18.253261717997063,18.8,18.9,17.1,12.3
3510.0,11.314043667740023,11.3,10.4,9.6,11.0
3511.0,13.992541635419139,14.1,18.8,14.0,13.5
3514.0,25.247228514621703,26.3,25.7,20.3,15.9
3515.0,11.091799985021503,11.0,6.7,3.2,3.4
3602.0,11.493057198395437,11.5,11.4,10.9,22.3
3801.0,21.025023416257696,21.9,18.6,20.5,20.0
3802.0,33.66962287176928,35.6,34.4,35.9,36.0
3805.0,26.196963318234538,27.4,29.3,27.0,14.1
3807.0,18.165921752696335,18.8,18.0,20.1,14.2
3812.0,19.01761405507488,19.8,19.1,24.4,19.4
3814.0,10.819111134591402,10.8,7.9,8.5,9.7
3815.0,10.095959578809582,9.9,7.6,3.4,2.8
3817.0,0.8781734393705758,0.0,0.0,0.0,0.0
3818.0,16.836816013658296,17.2,19.8,15.5,19.5
3819.0,15.285403038124459,15.7,14.9,18.0,20.9
3901.0,9.859735894520913,9.8,11.4,14.0,17.1
3902.0,10.501928400024998,10.4,12.5,11.1,17.4
3903.0,11.757816969117046,11.8,12.6,12.7,12.9
3904.0,17.410823425152962,17.9,19.9,18.8,17.9
3905.0,11.837729508096274,11.9,10.4,10.9,10.7
3906.0,7.788365777977388,7.5,6.8,7.0,6.7
3907.0,7.547082450431347,7.3,6.9,9.7,11.0
4003.0,12.168893448216012,12.4,15.4,22.1,29.1
4004.0,14.36551361356679,14.6,15.0,13.9,14.8
4005.0,14.364437129896658,14.7,16.1,19.3,21.3
4008.0,16.855157231629516,17.4,16.6,19.6,15.1
4101.0,8.774241719628856,8.6,6.6,8.0,8.2
4102.0,8.254511422512731,8.0,6.3,6.2,10.3
4105.0,11.954427632285713,12.0,9.2,8.5,10.8
4106.0,7.594890990643902,7.3,7.9,8.6,8.1
4107.0,11.986268800702344,12.1,10.2,12.3,10.3
4108.0,9.712064283945965,9.6,7.8,8.5,7.8
4109.0,11.960714972133488,12.0,11.9,11.1,11.3
4110.0,11.325263445237988,11.4,13.8,16.9,16.7
4111.0,5.458656450252063,5.0,5.6,7.0,5.6
4112.0,9.635590046642463,9.5,7.9,7.9,7.6
4201.0,25.81118385143923,27.0,27.9,26.3,24.6
4202.0,9.08711245640356,8.9,9.0,8.9,11.1
4203.0,4.725872877148275,4.2,2.2,3.2,4.4
4204.0,19.420461384649336,20.0,16.5,11.7,10.9
4205.0,22.446238317156677,23.4,20.5,20.7,18.6
4206.0,13.047297658865379,13.3,13.4,17.7,13.9
4207.0,16.83881180301976,17.3,17.1,16.7,18.9
4208.0,14.966079315361176,15.3,21.0,22.3,24.6
4212.0,11.972324785588675,12.1,14.1,17.1,17.7
4301.01,10.000899335439371,9.9,11.8,12.2,12.3
4301.02,15.536569234199122,16.0,14.4,18.6,19.3
4302.0,13.401689596004864,13.6,14.1,14.9,14.6
4303.0,14.540507998178489,14.8,14.8,14.1,15.5
4304.0,13.203932832277621,13.4,18.2,19.9,22.3
4305.0,13.100056629956367,13.3,13.3,15.2,15.0
4306.0,13.839111954730521,14.1,12.1,13.8,15.2
4307.0,18.331399297423545,18.9,19.9,18.8,15.4
4308.0,17.575632515395498,18.0,19.9,15.5,15.8
4309.0,20.792446835283755,21.7,23.0,27.4,20.3
4312.0,11.87150642307848,11.9,16.7,16.1,17.7
4313.01,21.258849296084293,22.1,19.4,19.1,19.2
4313.02,13.411176414491413,13.6,16.0,16.5,17.7
4314.0,21.107500560796673,21.9,19.2,17.4,15.8
4401.01,13.446776303652548,13.6,13.3,12.0,14.0
4401.02,21.958134372733326,22.9,19.6,21.0,16.9
4402.01,14.023674753860599,14.2,13.5,11.1,14.8
4402.02,18.0182657302988,18.6,21.7,22.4,22.2
4403.0,18.65517179767827,19.3,18.2,19.0,17.0
4406.0,17.81305392390294,18.3,17.6,14.8,15.5
4407.0,19.945816581213414,20.7,16.5,17.1,19.5
4408.0,20.085595098536352,20.8,18.9,17.5,14.2
4409.0,17.491416446786566,18.2,17.4,25.0,20.9
4503.0,16.044572086345433,16.4,17.9,16.0,15.2
4601.0,16.952467675575548,17.5,15.7,18.4,16.7
4602.0,12.633568964089983,12.8,9.2,11.1,10.3
4603.01,20.95424966034912,21.7,19.2,16.0,16.1
4603.02,13.501355843871632,13.7,13.3,13.7,15.2
4604.0,14.189052709327736,14.5,17.5,20.4,18.2
4605.0,15.557765455400927,15.9,16.4,15.6,16.0
4606.0,17.199481505914456,17.7,12.1,11.7,17.6
4607.0,9.699290376703964,9.6,8.1,9.4,7.7
4610.0,27.52340481342644,28.9,28.3,28.4,26.6
4701.0,22.49845603937017,23.4,21.5,19.4,15.2
4801.0,21.744685046703594,22.6,18.8,17.3,16.8
4802.0,18.99788189942329,19.5,25.4,19.5,23.9
4803.0,15.869426488813465,16.2,18.0,15.7,17.4
4804.0,22.685404663818936,23.6,19.0,16.6,16.8
4805.0,20.716637443430905,21.4,17.0,11.9,11.6
4903.0,18.438504999781514,19.1,20.0,22.4,21.4
4904.0,14.059011812671692,14.2,15.0,11.1,8.7
4905.0,13.650860002718067,13.8,16.3,14.3,15.0
4906.0,20.997380223152163,22.0,24.0,31.7,31.1
4907.0,18.64233428763267,19.3,17.0,18.3,20.8
4908.0,20.038733431335913,20.8,22.9,23.9,21.8
4909.01,14.643077312928343,15.0,11.9,14.7,14.6
4909.02,16.844430688382857,17.3,17.9,17.3,22.6
4910.0,15.501824998899407,15.8,15.5,13.0,17.9
4911.0,16.35762405743835,16.8,16.4,16.9,18.0
4912.0,12.844202833353316,13.0,10.7,11.5,15.2
4913.0,21.03573793133465,21.8,19.5,16.8,14.3
4914.0,21.173190666134786,22.0,17.8,17.1,13.2
5001.0,19.505515162917767,20.1,17.7,13.3,15.3
5002.0,12.186548169448008,12.3,13.6,15.2,17.6
5003.0,11.303498358811582,11.3,7.8,7.3,5.1
5101.0,10.179180808806523,10.1,9.4,9.9,9.3
5102.0,13.920751438636316,14.2,12.5,14.7,13.8
5103.0,17.770235410059314,18.3,19.9,19.2,18.9
5201.0,10.836276230606103,10.9,9.4,13.5,10.2
5202.0,11.745910743906169,11.8,9.1,9.5,6.9
5203.0,11.1793427869027,11.2,9.9,11.0,11.7
5204.0,8.190118630653467,7.9,7.1,5.8,9.5
5205.0,9.535987401579284,9.4,10.2,10.7,8.8
5206.0,13.46906103669419,13.6,12.0,9.6,8.8
5301.0,14.899832372968165,15.2,16.2,16.0,15.4
5302.0,14.223379292323118,14.5,12.5,13.5,15.6
5303.0,14.13175133654378,14.4,15.7,16.9,15.8
5304.0,14.644949456690329,14.9,15.7,14.5,13.6
5305.01,17.613663839450673,18.2,16.6,18.6,14.7
5305.02,15.782685361108971,16.1,18.6,16.1,15.4
5305.03,15.775076700469258,16.1,19.4,17.3,13.4
5306.0,12.210804684538015,12.4,12.5,17.1,15.6
5401.01,6.134057054540064,5.8,7.5,11.8,13.4
5401.02,12.829263930601345,13.0,15.4,17.2,18.3
5501.0,14.35129117992567,14.6,15.8,15.4,13.3
5502.0,11.458539806989286,11.5,11.9,13.0,11.4
5601.0,7.229324885581803,7.0,7.1,11.8,8.6
