tract,percent_vacant_2016,percent_vacant_2015,percent_vacant_2014,percent_vacant_2013,percent_vacant_2012,percent_vacant_2011
1801.0,12.041388861534188,11.6,11.1,11.8,6.2,4.6
1901.0,7.616815210705078,7.4,5.5,7.8,5.9,6.0
1902.0,11.729756372045445,11.6,9.0,9.0,6.9,5.6
1903.0,11.179535069093923,11.1,12.7,9.7,7.9,7.8
1904.01,11.282388631115348,11.2,9.1,6.6,5.9,2.2
1904.02,13.226264426224914,13.6,15.9,13.5,13.5,8.9
1906.01,11.862020273886666,12.0,10.0,8.7,8.8,5.5
1906.02,9.193191008286888,9.4,11.2,11.4,11.3,8.8
1907.01,6.942183440480983,6.9,5.1,6.6,6.6,5.6
1907.02,5.72635099342723,6.3,10.0,11.9,14.8,17.0
1908.0,5.824027959738465,5.8,7.0,7.2,7.3,8.5
1909.0,12.397306879002592,12.6,16.9,13.8,12.5,12.2
1910.0,6.3972061025789735,6.3,9.6,7.1,6.7,11.7
1911.0,14.221260094228494,14.6,14.7,15.4,14.5,10.4
1912.0,10.543299594310483,10.8,8.2,10.2,10.7,11.3
1913.01,9.402932192645094,9.4,7.2,5.8,6.2,5.7
1913.02,7.213788005144579,8.4,16.1,15.2,21.5,22.4
2001.0,1.4444992267941719,1.9,3.4,4.0,9.5,11.3
2002.0,11.310283992874503,11.4,13.1,12.4,10.8,10.2
2003.0,6.031258372999861,5.7,7.8,7.3,5.0,4.3
2004.01,5.75807727120068,5.9,11.5,10.5,10.7,14.4
2004.02,12.586633077827338,12.8,17.0,16.9,14.4,15.3
2101.0,13.744125953824083,14.2,14.0,10.8,12.4,12.2
2104.0,11.5468914948043,11.8,11.2,9.6,10.3,7.9
2105.01,8.017821395592513,7.9,5.6,4.4,4.6,5.3
2105.02,12.523685781556496,12.8,13.4,11.9,11.8,15.1
2106.01,14.77892506556035,15.4,10.2,6.4,10.8,7.7
2106.02,10.754734938888356,11.0,11.8,14.9,13.5,11.8
2107.0,9.582056019155536,9.1,8.6,9.1,4.5,6.7
2108.0,12.40868496621781,12.6,17.4,17.8,14.8,20.5
2109.0,8.835965437158766,8.9,9.8,10.9,9.9,13.0
2203.0,4.126919695544922,3.9,4.2,2.9,3.3,5.9
2204.0,7.052561154619446,7.0,6.8,4.8,5.5,5.5
2205.0,5.037124703570754,4.9,7.4,4.6,5.0,7.1
2206.01,10.31126828400029,10.7,9.7,7.0,9.9,7.4
2206.02,12.296736564933859,12.6,15.2,17.3,15.3,13.2
2207.01,8.106129043068321,8.1,5.6,5.5,6.1,7.0
2207.02,16.36871018988429,16.6,13.9,14.6,12.6,12.7
2209.01,15.479389544074726,16.2,14.5,13.6,15.9,16.8
2209.02,11.584493887501859,12.0,8.9,12.7,13.3,12.0
2210.0,14.248946232388109,15.1,16.1,15.1,18.0,18.1
2211.0,8.146323871803286,8.3,6.6,5.4,7.3,6.2
2212.0,5.799251870976029,6.6,10.1,12.0,16.6,13.6
2213.0,12.960325277850764,13.1,10.6,11.4,10.3,13.2
2214.0,2.853352944826046,3.3,5.5,3.1,8.8,8.3
2215.0,12.513292234986643,13.0,13.2,8.0,11.1,8.5
2216.0,10.610664071589204,10.6,7.2,7.5,7.0,9.6
2222.0,9.613857236561703,9.1,13.1,7.9,3.7,5.4
2225.0,7.889857488240841,9.1,11.6,12.6,19.9,17.3
2226.0,13.688002764099231,13.8,14.0,11.2,10.0,8.7
2227.0,7.936646383524342,8.5,8.2,9.9,13.2,19.1
2228.0,11.72171501978029,11.7,18.3,14.8,11.5,14.9
2229.0,26.308669519185806,26.3,22.0,14.9,10.0,17.5
2301.0,11.378625189145804,11.3,8.4,8.3,6.9,6.5
2302.0,16.266827552550858,17.4,13.9,21.1,23.4,25.1
2303.0,1.6504929581184993,2.4,2.0,2.0,10.5,11.5
2304.0,13.465857666886475,13.8,16.2,18.6,16.2,14.4
2305.0,6.617538600204534,6.6,7.7,9.6,8.7,12.6
2306.0,10.691015580971936,11.2,12.6,9.9,12.6,13.8
2307.0,18.97657798131324,19.5,22.2,23.0,19.8,19.2
2308.0,16.57324891028167,18.9,20.8,24.5,34.8,29.7
2309.0,9.871614806732369,10.1,12.3,14.4,13.2,14.1
2311.0,14.472965908868959,14.8,15.4,14.9,13.8,3.5
2312.0,26.588612760592362,27.8,30.0,30.2,28.7,26.2
2315.0,21.335391652455463,22.4,21.0,27.0,26.0,21.9
2402.0,3.7465912598238593,3.9,4.8,4.6,7.3,5.3
2403.0,6.058224902039705,6.4,5.8,4.6,8.5,8.6
2405.0,2.407535027795369,2.5,4.7,6.3,8.0,9.0
2406.0,4.807034792301037,6.2,11.0,13.0,21.9,23.0
2407.0,6.51979297691149,6.3,5.4,3.4,3.4,9.2
2408.0,8.838338826551581,8.8,13.7,15.2,11.8,14.0
2409.0,7.381099523386819,8.4,10.3,24.5,25.5,31.2
2410.0,20.405349663956322,20.9,20.9,14.3,14.2,16.6
2411.0,6.9026996975180985,7.0,10.4,12.9,11.6,13.1
2412.0,13.683595249632116,13.7,10.6,9.1,7.9,4.8
2413.0,6.5527366112190215,6.4,8.4,5.9,5.5,8.6
2414.0,1.1796855803331212,1.7,1.5,1.7,8.6,12.2
2415.0,1.3994011635259895,1.8,5.0,6.8,10.8,14.2
2416.0,9.841321438591613,9.9,8.6,9.9,9.1,8.9
2420.0,9.170147321527628,9.4,10.5,13.5,12.7,11.6
2421.0,6.289812541322235,5.9,7.8,9.8,6.0,6.3
2422.0,3.6651303333317653,4.0,5.8,4.7,8.8,10.8
2423.0,8.07468114743621,7.9,11.2,9.2,7.2,8.4
2424.0,8.732532904280607,9.0,9.0,9.3,10.5,12.5
2425.0,6.194574173529013,6.4,7.3,8.5,9.8,10.7
2426.0,10.859170431608723,11.2,14.1,15.4,14.6,20.0
2427.0,11.396781246666606,11.6,12.6,13.0,12.0,11.6
2428.0,9.801503485909077,10.1,9.2,11.3,11.8,10.8
2429.0,9.561191495485728,9.3,9.0,8.4,5.8,5.2
2430.0,4.741327207404988,5.0,11.2,6.6,9.4,12.0
2431.0,9.74284250973877,9.8,8.4,6.2,6.9,7.9
2432.0,10.352148565656286,11.2,12.9,17.9,20.0,24.1
2433.0,8.161880734344319,8.0,7.8,7.4,6.1,9.1
2434.0,7.463254153208617,7.4,7.4,6.0,6.1,8.7
2435.0,6.53255600146837,6.4,4.7,4.0,4.4,5.0
2502.0,13.502297590787627,14.1,15.9,17.4,17.5,14.2
2503.0,14.919442144978555,15.4,15.1,14.2,14.5,16.4
2504.0,12.122405984132701,12.6,8.9,11.5,13.0,15.1
2505.0,2.9514444469305676,2.6,2.9,3.0,2.5,4.1
2506.0,6.967366353040036,6.9,7.2,6.3,6.3,7.1
2507.0,11.247231715530432,11.4,10.9,14.4,12.4,11.7
2508.0,9.655635709176465,9.8,8.9,11.6,10.8,11.4
2510.0,11.161782936608686,12.1,10.3,21.1,22.4,18.3
2511.0,20.05552940976891,20.6,21.3,17.1,16.3,14.2
2512.0,16.226205516282185,16.9,15.2,18.2,18.2,22.9
2513.0,13.922277864581423,14.6,16.4,17.6,18.2,17.5
2514.0,10.22455943536353,10.8,14.7,18.6,18.4,18.0
2515.0,23.26635372239555,24.7,26.1,27.2,28.9,25.9
2516.0,17.17196672703065,18.5,14.8,18.2,23.1,23.6
2517.0,17.31391888397424,17.6,9.6,10.8,10.5,10.9
2518.0,18.22898644070056,19.3,21.4,24.9,25.2,28.5
2519.0,17.46708014393564,18.3,21.4,25.3,23.7,26.9
2520.0,11.960491049244673,12.3,13.2,13.0,13.0,15.6
2521.01,20.672833258626333,21.1,21.5,18.4,16.1,9.0
2521.02,14.44379853214642,14.4,18.5,18.0,12.9,16.2
2522.01,15.119195306866173,15.5,16.4,19.0,16.6,13.5
2522.02,15.985676017057333,17.4,16.3,21.3,25.8,30.1
2601.0,39.62880380334385,40.9,43.4,43.3,35.8,32.3
2602.0,26.87298035865018,29.0,29.2,35.3,38.7,36.9
2603.0,24.247295812029762,25.5,28.2,27.6,27.7,26.1
2604.0,26.66991194742962,26.9,27.6,27.4,19.4,29.5
2605.0,23.573610111359145,25.3,27.4,27.1,31.1,37.5
2606.0,36.485783239271484,37.2,31.5,26.8,21.7,15.6
2607.0,21.690625109995317,23.4,22.7,26.2,30.5,28.8
2608.0,24.10032188358418,25.3,30.9,34.0,31.2,30.5
2609.0,31.653331087730976,32.2,27.8,28.7,22.0,20.9
2610.0,27.713912213992295,29.1,28.1,27.1,28.0,24.9
2705.0,8.364094573993192,8.8,9.2,13.1,14.1,12.6
2712.0,20.403643299450344,21.6,29.1,26.3,27.0,33.2
2713.0,16.26734906313108,17.0,22.4,21.4,20.8,20.3
2714.0,26.350550103286203,27.9,31.2,26.2,29.0,34.3
2715.0,16.561987142548247,17.4,21.9,18.1,19.6,17.4
2718.0,19.025535263586846,20.3,27.6,36.9,34.0,57.7
2801.0,8.002518378686688,8.2,6.3,8.7,9.6,9.1
2804.0,3.601555856926227,3.5,3.4,2.9,4.3,3.4
2808.0,21.59541144520864,22.7,26.7,26.7,26.3,20.9
2809.0,17.686120455050514,18.8,23.8,25.1,25.8,26.6
2819.0,13.339553057955893,13.8,14.5,16.7,16.0,20.3
2827.0,15.793914331824212,15.7,18.4,13.2,9.5,9.3
2828.0,11.30537135083846,11.3,9.4,6.6,6.5,9.0
2831.0,10.111428513388129,11.1,15.0,13.2,18.4,17.8
2832.0,4.461129130456913,4.2,4.3,5.6,4.6,8.1
2838.0,5.9168609409954644,6.0,5.6,7.6,8.3,7.6
2909.0,30.01187078658939,31.5,32.3,28.7,29.6,27.5
2912.0,20.555492338680722,21.9,23.5,29.3,29.7,31.9
2916.0,17.257112664485348,18.1,22.9,24.7,23.5,16.3
2922.0,24.788529858504276,26.1,27.9,24.1,26.0,30.5
2924.0,27.203630104938043,28.4,27.8,23.4,24.4,26.0
2925.0,20.294459884751262,21.4,24.1,23.2,24.3,27.4
3005.0,10.77633001702384,12.2,21.8,25.0,28.9,27.0
