tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
1907.02,31.72604856345589,32.856,34.106,29.25,27.093000000000004,23.375
1908.0,18.247797318410576,18.549,19.779,25.285999999999998,24.314,33.981
1909.0,18.70684572508445,19.375999999999998,17.758,15.088,16.163,12.449000000000002
1910.0,24.5513739559971,25.090999999999998,29.024,28.590999999999998,24.853,29.022
1911.0,24.16855653534865,25.073,23.639,20.447,19.951,21.660999999999998
1912.0,33.38682296298481,34.696,34.994,31.564,35.153,33.589
1913.01,26.369560288396784,27.145,26.796999999999997,33.015,33.85,29.919
1913.02,28.384229167968215,29.572,28.596999999999998,22.889,26.467,31.311
2001.0,14.585467486276043,14.847999999999999,17.184,15.050999999999998,16.421,20.473
2002.0,21.339490895937658,21.869,26.55,22.816,26.974,28.165
2003.0,28.66586676119433,29.761999999999997,28.53,26.401,26.838,23.301
2004.01,20.851071630616183,21.555999999999997,18.249000000000002,22.4,22.621,25.771
2004.02,18.61599053256596,18.9,24.25,22.345,23.313000000000002,24.044
2101.0,13.456099175303454,13.764000000000001,12.272,16.863,20.893,20.798000000000002
2104.0,23.71951152375062,24.475,24.488000000000003,25.909000000000002,28.454,29.224
2105.01,40.305349754642116,41.976000000000006,41.36600000000001,36.422,37.048,35.402
2105.02,27.155444223264233,27.924,30.984,30.598000000000003,31.265,31.709
2106.01,34.54644836149214,35.948,36.986,33.036,41.29,39.274
2106.02,26.726395501071863,27.842,24.891,26.265,33.303000000000004,28.375
2107.0,19.298430798195596,19.483,23.151999999999997,30.796,30.212,24.471
2108.0,16.332511412552485,17.192999999999998,8.074,12.422,17.49,16.519000000000002
2109.0,15.252133366556393,15.664000000000001,15.203,13.775,14.200999999999999,10.043
2203.0,6.26730428938815,6.321000000000001,6.559,4.505,11.093,9.652999999999999
2204.0,9.537738074673726,9.714,7.836,7.066,5.521,6.789
2205.0,6.668429439746333,6.604,6.301,7.982,8.333,6.955
2206.01,10.9203911683565,11.282,9.023,7.246,11.355,9.881
2206.02,9.862014540937038,10.092,7.164,9.222999999999999,10.665999999999999,12.262
2207.01,15.079213731005002,15.355,18.358,18.573,25.144000000000002,21.456
