tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
1801,,0.246,0.200,0.1950,0.173,0.190
1901,,0.082,0.073,0.1680,0.167,0.133
1902,,0.168,0.151,0.1770,0.153,0.129
1903,,0.132,0.150,0.1560,0.144,0.165
1904.01,,0.194,0.196,0.1700,0.148,0.137
1904.02,,0.216,0.154,0.1700,0.174,0.165
1906.01,,0.126,0.116,0.1690,0.126,0.099
1906.02,,0.135,0.136,0.1180,0.158,0.145
1907.01,,0.092,0.110,0.1070,0.081,0.097
1907.02,,0.119,0.112,0.1100,0.092,0.113
1908,,0.090,0.141,0.1180,0.093,0.085
1909,,0.134,0.172,0.1620,0.125,0.102
1910,,0.111,0.142,0.0980,0.044,0.080
1911,,0.072,0.047,0.0530,0.067,0.078
1912,,0.053,0.055,0.0310,0.032,0.037
1913.01,,0.119,0.113,0.0930,0.086,0.042
1913.02,,0.122,0.114,0.0740,0.021,0.043
2001,,0.200,0.169,0.1800,0.146,0.144
2002,,0.071,0.055,0.0650,0.073,0.084
2003,,0.111,0.111,0.1050,0.093,0.092
2004.01,,0.048,0.037,0.1010,0.083,0.132
2004.02,,0.086,0.110,0.0850,0.105,0.078
2101,,0.128,0.136,0.1430,0.178,0.195
2104,,0.109,0.105,0.0840,0.076,0.102
2105.01,,0.088,0.066,0.0640,0.067,0.069
2105.02,,0.055,0.076,0.0950,0.113,0.173
2106.01,,0.102,0.059,0.0540,0.056,0.079
2106.02,,0.133,0.085,0.0490,0.051,0.094
2107,,0.173,0.201,0.1510,0.171,0.154
2108,,0.195,0.172,0.1350,0.130,0.195
2109,,0.166,0.168,0.2070,0.257,0.260
2203,,0.258,0.254,0.2570,0.291,0.224
2204,,0.278,0.277,0.2750,0.196,0.178
2205,,0.210,0.212,0.1420,0.161,0.214
2206.01,,0.173,0.140,0.1390,0.102,0.151
2206.02,,0.226,0.225,0.2080,0.176,0.152
2207.01,,0.157,0.111,0.0720,0.124,0.086
2207.02,,0.057,0.044,0.0710,0.146,0.146
2209.01,,0.080,0.098,0.1080,0.164,0.114
2209.02,,0.150,0.127,0.1030,0.145,0.083
2210,,0.163,0.166,0.1590,0.123,0.128
2211,,0.110,0.093,0.0960,0.092,0.090
2212,,0.270,0.221,0.2010,0.196,0.193
2213,,0.174,0.166,0.1530,0.145,0.150
2214,,0.189,0.161,0.1180,0.115,0.124
2215,,0.131,0.117,0.0880,0.115,0.112
2216,,0.244,0.228,0.2300,0.248,0.236
2222,,0.362,0.320,0.3490,0.355,0.354
2225,,0.227,0.242,0.1700,0.171,0.143
2226,,0.181,0.145,0.1590,0.133,0.093
2227,,0.103,0.143,0.1410,0.113,0.145
2228,,0.068,0.050,0.0330,0.005,0.000
2229,,0.082,0.047,0.0750,0.055,0.058
2301,,0.073,0.079,0.1000,0.084,0.073
