tract,percent_pub_trans_2016,percent_pub_trans_2015,percent_pub_trans_2014,percent_pub_trans_2013,percent_pub_trans_2012,percent_pub_trans_2011
811,,35.12084592,32.51937984,26.92307692,23.97003745,27.84482759
812.01,,41.84424642,39.58556627,33.23873714,25.14309076,24.65878071
812.02,,24.81796117,26.10188895,23.88982574,25.56053812,25.27839644
813,,30.78526755,23.86131883,24.14515003,23.54159475,17.90186125
814.01,,20,12.5932063,13.69102683,11.48531952,13.25301205
814.02,,12.08255159,10.6937524,11.78756477,15.01554865,16.47727273
814.03,,12.41134752,13.21803582,13.35952849,12.46938321,13.30897704
815,,17.96536797,17.86618445,17.84922395,17.85586232,18.06949807
816,,14.7826087,15.8839779,11.64259928,13.97748593,17.05855233
817,,18.28254848,20.98397316,23.12398042,19.78513876,22.72727273
818,,14.35788787,13.71193416,13.08684437,12.54025384,14.84155636
819,,6.92431562,9.448818898,10.35598706,14.84794275,16.66666667
901,,7.071960298,5.57966522,5.637411915,6.797305573,7.371975239
902,,16.99042408,15.68744408,14.94011976,13.69329251,11.93984039
903,,13.1661442,11.50159744,8.20668693,7.175572519,16.04790419
1001,,12.26635514,12.30997405,10.07096992,11.03723404,12.96607323
1002,,9.712762807,11.25334921,11.05637657,11.33460179,11.62388232
1003,,11.21707539,8.042279412,12.37729407,12.69540502,14.75890985
1004,,9.358974359,5.822613406,6.166219839,7.479224377,9.972862958
1005,,11.6097561,10.25544703,11.55220326,11.11493462,9.286445886
1006,,7.556578443,7.747273411,9.190096517,9.046214356,9.571286142
1007,,7.383136741,9.070191431,8.073716542,5.929558627,7.354301573
1101,,11.3040266,9.815498155,10.25449102,10.95290252,11.3437381
1102,,11.53081511,13.75698324,11.56299841,10.89108911,5.753646677
1103,,15.75240919,14.09371595,9.60618329,11.73208191,10.40372671
1104,,10.5006646,11.0702802,10.13087736,10.89686099,14.04651163
1105.01,,20.95783872,24.53498671,20.54854158,19.68325792,13.71559633
1105.02,,31.27600555,25.74454004,20.21276596,18.61731083,16.53179191
1201,,16.36990235,13.97018222,14.23670669,12.67379679,12.63823065
1202,,13.9257902,14.06101049,12.7755511,16.02564103,16.62241105
1203,,9.472623446,10.37931034,9.559748428,14.22634271,14.53104359
1204,,19.46308725,19.56521739,14.6100691,10.69788797,11.18677043
1301,,10.45788581,8.886450905,8.149482215,6.576576577,11.42061281
1302,,14.63700234,13.46604215,16.22222222,11.58256881,10.02506266
1303,,13.46153846,11.0306644,9.705002138,12.24398931,8.53286896
1401,,40.72580645,38.23529412,45.38653367,31.78959405,33.00309598
1402,,35.11041009,34.55723542,39.51090159,44.99200852,43.81761978
1403.01,,45.28052805,40.39900249,37.43421053,38.02725503,32.92838875
1403.02,,19.35315597,22.88094072,22.69753397,22.53663466,14.35018051
1404,,21.11261872,22.2546729,19.36067551,17.95543906,13.27586207
1405,,18.37044534,17.0235546,22.12028542,20.75471698,18.69469027
1406.01,,17.80506523,17.50943396,19.87991995,21.00070472,24.8603352
1406.02,,40.15748031,45.80716661,46.9702534,41.00192678,38.07413376
1407.01,,39.15159944,45.74175824,45.98484848,45.02923977,48.13511612
1407.02,,26.4486889,24.96644295,26.15384615,29.87621278,30.46240734
1408,,43.32552693,44.47852761,44.45527663,36.54035433,33.88608508
1502,,18.82430647,19.60784314,22.71698113,22.0735786,23.41513292
1503,,18.42584167,21.44791923,21.50449714,18.56716418,16.61442006
1504.01,,9.245122986,7.451158564,10.26666667,11.15573405,13.92033543
1504.02,,23.25102881,18.51257357,19.75308642,19.84564498,22.71084337
1505.01,,17.34104046,18.24186992,16.11510791,12.61073476,14.86631016
1505.02,,15.13190642,16.65715916,14.15719697,17.28992521,15.10347864
1506,,20.73298429,18.83259912,16.99164345,22.03947368,23.41907824
1507,,18.45549738,17.11438475,15.55023923,18.42236645,15.70981211
1508,,22.20726783,24.17241379,17.59656652,18.61022364,19.93569132
1510.01,,7.410636443,9.844559585,11.18881119,8.747993579,8.885651857
1510.02,,20.10213556,19.86486486,19.65203638,19.27203065,24.31106078
1511,,17.64705882,16.97974217,13.3413946,11.72624237,14.05332128
1512,,10.64788732,10.06423983,10.24657534,8.717105263,7.270693512
1601,,24.44620253,24.41767068,18.99841017,14.7260274,15.63636364
1602,,25.1396648,20.53854277,17.12253829,14.12337662,13.41201717
1603,,37.22943723,40.49049049,37.06293706,33.75378406,32.37179487
1604,,22.29299363,28.78903275,24.77843427,25.86715867,23.98445779
1605.01,,35.13289037,33.30275229,27.87203102,21.73274596,19.03656413
1605.02,,17.34104046,16.9619132,17.07523246,17.33445803,16.35049684
1606.01,,20.35928144,17.15116279,23.79310345,25.25252525,22.11779449
1606.02,,24.11561691,19.68539326,19.0028222,12.73046532,19.38083121
1607,,24.57062741,22.87753569,23.56215213,20.66469233,23.89380531
1608,,23.50289762,20.86956522,23.26411421,20.7747686,23.77850163
1609,,23.72127502,23.32826748,25.52504039,20.97014925,22.22222222
1610,,26.53884965,25.31522793,23.53579176,26.01880878,23.2936078
1611,,26.6214908,25.51662174,24.84076433,25.06666667,22.70663034
1612,,26.93430657,24.49494949,22.2972973,24.47665056,33.06273063
1613,,31.5455594,31.77826564,28.77739331,30.58035714,26.66666667
1701,,7.194244604,6.060606061,3.343465046,4.697156984,7.73480663
1702,,11.24705882,11.03633917,9.526159921,12.95647824,8.466135458
1703,,4.602991945,5.105105105,6.115641216,6.9687738,11.89873418
1704,,8.472479901,6.681896059,7.34557596,8.9306698,8.996539792
1705,,11.79522657,9.50443787,9.787693415,10.63907044,8.195459792
1706,,11.24401914,12.91866029,12.05107741,12.91905151,12.8164557
1707,,12.29260935,13.84863124,11.53250774,12.76164754,12.60086903
1708,,5.497925311,6.52173913,6.159209762,6.246514222,5.135603001
1709,,18.87201735,18.75,19.8019802,14.4057623,10.91113611
1710,,9.093244285,9.337044534,7.398630858,5.995717345,8.445945946
1711,,12.92335116,14.83784984,10.78729883,6.910039113,7.56731662
1801,,12.68382353,12.37432328,9.504301516,9.623430962,7.661154236
1901,,25.98770852,24.93125573,20.96518987,14.18550273,18.42560554
1902,,17.42361685,17.59297952,19.36520691,18.81964507,15.405097
1903,,21.95834856,22.66917293,18.73222267,18.2,17.93687452
1904.01,,10.91570649,17.60299625,17.21813725,19.06432749,26.02523659
1904.02,,8.938089381,8.018386108,14.06170966,12.25839268,17.54785779
1906.01,,16.12410987,15.34148828,10.58510638,12.14209968,17.94616152
1906.02,,9.822747415,10.0591716,6.369426752,7.675791734,6.034482759
1907.01,,13.36441336,10.47928513,9.649871904,6.255355613,7.72797527
1907.02,,25.91289045,25.44014085,20.68641279,15.32700949,18.50412822
1908,,16.23630673,15.71599521,15.65217391,18.05405405,15.34255388
1909,,11.26315789,7.374301676,7.782101167,5.625606208,5.158264947
