tract,percent_percent_walked_2016,percent_percent_walked_2015,percent_percent_walked_2014,percent_percent_walked_2013,percent_percent_walked_2012,percent_percent_walked_2011
408,,17.75878443,17.14015152,13.95348837,18.13246471,14.50892857
409,,22.13997308,21.04890149,21.4335421,15.88107324,17.70992366
501,,10.83333333,9.315960912,8.231884058,7.702182285,8.372721134
502,,24.47629548,17.85714286,13.72268004,12.87619048,18.5773742
503,,15.97833446,14.61279461,15.75520833,19.32335719,17.35874745
505,,11.81844975,12.80487805,11.79987413,11.85185185,10.87090797
506,,16.64656212,12.94871795,10.12805588,14.03872752,12.96905859
507,,12.07513417,12.56077796,14.55223881,19.2564347,20.94474153
508,,15.67328918,13.12785388,25.0617284,23.36217553,24.37275986
509,,16.42294713,12.858661,12.32279171,9.481808159,7.391304348
510,,15.80516899,17.91044776,17.66329347,18.7150838,27.01923077
511,,17.84232365,18.3255814,16.7404783,13.88101983,13.36448598
512,,19.25403226,20.38461538,29.36363636,28.0625543,33.30179754
513,,13.75,13.80236305,13.19884726,12.83210854,9.041394336
514,,18.0156658,21.4953271,18.97127589,17.98611111,18.91117479
601,,13.99433428,15.13121161,15.74941452,15.14785757,16.00234467
602,,15.15151515,19.19708029,12.55850234,12.47199403,12.92974589
603,,12.68065268,15.05125815,15.66651397,15.69527306,16.54641655
604,,15.17422256,13.82084095,13.23360184,8.311395261,11.5886416
605,,28.26086957,21.48997135,24.3045388,18.38006231,15.52795031
608,,10.70304302,8.127682403,9.795918367,11.03746398,11.57832396
609,,18.66695242,14.85106383,12.13063764,12.8921358,12.59617498
610,,18.55742297,15.5990957,11.20967742,12.06757844,11.70694864
611,,13.30396476,14.10505837,11.55378486,10.27322404,8.138351984
612,,11.74218251,12.0049505,13.10708016,12.74630542,16.07387141
615,,11.13537118,13.69264385,16.63339987,15.09686039,15.0757077
618,,25.36407767,23.45523329,21.66859791,22.13740458,20.20725389
619.01,,14.78949262,16.35408852,16.65438467,17.09401709,12.86804798
619.02,,24.05063291,23.67424242,26.00790514,20.27840482,24.44664685
620,,15.17352704,15.04729149,13.92519153,12.47706422,11.62898016
621,,14.34395849,14.22718808,14.97005988,11.00204499,12.09520094
622,,13.83186706,12.1277514,13.11818944,13.85442514,13.86735573
623,,10.66433566,10.37735849,12.54545455,13.7962963,14.84962406
624,,11.37026239,14.92537313,16.3132137,16.89708141,17.57259866
625,,10.63189569,10.80530071,10.34482759,12.28813559,8.275862069
626,,14.75037821,15.16551193,14.52859351,9.320252278,9.25539318
627,,19.4812362,17.4863388,15.11829198,11.56004489,10.17699115
628,,19.04,17.72009029,17.25490196,16.70702179,21.57894737
629,,19.70458831,16.81075889,16.68240478,19.41805226,20.98033094
630,,16.74737692,17.4557431,15.633636,19.36236392,16.08796296
631,,15.04379186,12.7027027,12.49293386,15.48599671,11.79640719
632,,19.87223363,16.68280872,12.34475907,15.96701649,14.26108374
633.01,,14.39093484,9.275664409,10.25069638,16.21621622,18.89323644
633.02,,12.70998415,14.6768545,11.72053542,12.61506989,11.50767178
633.03,,25.71942446,25.87646077,21.03505843,21.31474104,23.26007326
634,,16.51612903,16.51651652,13.16306483,11.11951589,11.45912911
701.01,,25.62731386,25.83979328,26.84055532,27.5549806,31.04048759
701.02,,15.25192919,19.7461213,22.79069767,21.63461538,22.62895175
701.03,,18.62509992,16.74836601,16.78832117,16.31108052,18.20917983
702,,19.85863346,19.37342456,22.1116246,18.57349747,19.87951807
703,,16.10870421,14.97281472,17.4,17.64955452,15.76939381
704,,13.35616438,12.85500747,9.41300899,7.963069821,9.820912767
705,,10.17581247,15.6551333,12.26465842,12.75510204,15.8496732
706,,7.054148038,8.379606259,9.431939979,13.25556734,13.78221988
707,,14.75019826,15.77453366,14.72766885,14.95049505,14.92459698
710,,36.34567901,35.14625229,32.61782548,29.52115295,25.88807786
711,,25.88424437,26.29686697,26.34324465,21.71945701,19.24570161
712,,24.07407407,18.11288964,20.99267697,23.31002331,22.30452675
713,,18.79382889,19.00598251,24.12126538,19.57356077,18.8
714,,15.07989348,16.82412791,18.18494328,17.06746827,17.83837057
715,,14.53617399,19.61918535,19.57970272,17.24862169,18.19354839
716,,15.74973031,11.2407211,12.46200608,17.38424045,18.79194631
717,,12.62050833,10.45498548,11.70018282,10.27027027,8.148148148
718,,18.1336863,21.78694158,17.86226686,18.08199122,16.94528875
801,,37.09150327,38.00440205,33.87540655,37.77056277,31.89098061
802.01,,30.39812646,31.14427861,31.09957527,28.40447154,26.69358457
802.02,,34.33070866,34.566428,34.56079785,35.17060367,32.23239156
803,,20.25171625,19.27239928,20.54229296,25.25839793,27.60849492
804,,30.48600884,27.81655035,32.69650655,26.18261826,20.47244094
810,,50.62298108,49.80589176,52.36768802,46.9343696,47.96656123
811,,42.74924471,42.94573643,44.1898527,44.11152726,39.31034483
812.01,,39.79077877,43.47981422,42.53281305,50.69501226,45.81437671
812.02,,31.18932039,35.08872353,33.95165823,35.42600897,38.97550111
813,,50.66018068,52.41332427,49.54640614,46.84156023,51.0998308
814.01,,50.76233184,55.09527755,54.85661425,48.87737478,50.08605852
814.02,,47.20450281,50.51743963,46.67530225,47.80097734,50
814.03,,56.34357762,56.57813465,53.85287055,52.10420842,48.5125261
815,,55.95238095,55.94936709,58.64745011,59.34026533,59.38223938
816,,64.38923395,62.56906077,67.01263538,66.13508443,59.56662056
817,,60.86268302,59.37383526,53.26264274,56.26678603,56.53728294
818,,53.86245111,52.19753086,55.4772141,52.22580034,52.44685118
819,,46.37681159,45.82677165,44.98381877,42.57602862,48.98373984
901,,13.70967742,11.9032858,13.6450993,11.81873852,10.69217783
902,,7.250341997,9.662988369,9.431137725,9.240189257,9.545733579
903,,13.63636364,9.265175719,8.510638298,10.07633588,10.41916168
1001,,5.880062305,6.266221728,9.259885096,9.075797872,9.909304669
1002,,3.138880663,2.61982733,4.898741106,4.566458277,5.624459187
1003,,12.17075386,10.89154412,10.11523688,5.873993368,6.41509434
1004,,6.474358974,5.48408937,5.898123324,4.085872576,4.274084125
1005,,1.495934959,2.366641623,2.262802699,1.789401239,2.526459543
1006,,5.446873801,5.754042873,3.021401595,3.441494592,3.589232303
1007,,3.014416776,2.689152233,4.870557262,5.795809184,4.810360777
1101,,5.873660879,6.162361624,5.800898204,3.833515882,1.865245527
1102,,2.518223989,3.212290503,7.575757576,8.828382838,8.995137763
1103,,2.149740549,3.196512895,5.631210894,6.783276451,7.958074534
1104,,4.164820558,5.282498852,5.28356762,5.470852018,5.813953488
1105.01,,6.099058535,7.440212578,6.486721811,2.941176471,2.293577982
1105.02,,7.558945908,11.05228326,9.699624531,8.709853021,10.40462428
1201,,5.284319357,5.908337935,7.947398513,7.807486631,7.161664034
1202,,8.062299588,9.62821735,8.76753507,8.44017094,6.53212958
1203,,9.909304669,10.51724138,9.811320755,7.16112532,5.581241744
1204,,4.418344519,10.07423118,10.46396841,10.37649219,10.9922179
1301,,9.157716224,7.131102578,8.599729851,11.98198198,14.93036212
1302,,9.953161593,8.548009368,6.111111111,6.995412844,8.771929825
1303,,8.101472995,8.091993186,10.34630184,10.99732858,9.664780148
1401,,12.67281106,13.94335512,8.12967581,10.12006861,7.86377709
1402,,17.22397476,13.2983647,15.58632882,14.35801811,15.04379186
