tract,percent_vehicle_carpool_2016,percent_vehicle_carpool_2015,percent_vehicle_carpool_2014,percent_vehicle_carpool_2013,percent_vehicle_carpool_2012,percent_vehicle_carpool_2011
633.02,,5.832012678,6.653931869,6.137773425,6.307534947,5.436957972
633.03,,10.07194245,7.512520868,1.168614357,0,4.212454212
634,,4,5.345345345,6.35232482,8.245083207,8.250572956
701.01,,2.139037433,2.62704565,4.54354228,5.692108668,4.87592512
701.02,,3.676804358,3.196991067,2.532299742,2.19017094,2.163061564
701.03,,3.756994404,4.983660131,5.109489051,7.570543703,6.320541761
702,,0.572197913,1.188332733,1.670814077,2.353367125,2.296686747
703,,2.638834187,2.760351317,3.68,3.606279168,6.697753285
704,,4.941291585,4.833084205,6.081438392,6.231967686,6.239168111
705,,11.66755461,10.20986954,10.22054868,9.863945578,5.337690632
706,,3.179334327,4.240282686,3.59056806,4.93107105,8.890057864
707,,4.956383822,3.446877534,2.875816993,2.673267327,5.460218409
710,,3.308641975,2.559414991,2.799813346,4.323570432,4.720194647
711,,2.411575563,5.290190036,5.007824726,5.769230769,5.546311703
712,,3.555555556,3.369839933,1.545972335,1.554001554,1.563786008
713,,2.01028518,5.338242062,5.755711775,5.842217484,6.44
714,,5.625832224,6.867732558,9.453420419,9.352037408,9.099868594
715,,4.837993786,4.266088214,4.459251666,4.09556314,3.019354839
716,,7.551240561,10.81654295,10.53698075,6.173842405,5.788590604
717,,3.768624014,5.22749274,5.758683729,4.324324324,5.277777778
718,,7.346128392,7.697594502,5.882352941,9.663250366,8.814589666
801,,5.625583567,3.98630472,4.128096072,4.085497835,5.198089351
802.01,,1.451990632,2.23880597,2.076451156,3.963414634,4.531179901
802.02,,1.929133858,2.187748608,0.767165324,3.187101612,3.58137684
803,,6.636155606,7.486470235,3.860890068,3.003875969,2.831640505
804,,2.601865488,3.639082752,2.8930131,2.750275028,4.161979753
810,,2.538071066,1.507193423,0.964216842,1.230569948,0.519656575
811,,5.249244713,7.364341085,7.446808511,5.867665418,2.413793103
812.01,,0.348702053,0.321543408,1.525363604,1.962387572,4.185623294
812.02,,9.951456311,9.215798512,7.925801012,7.455156951,7.461024499
