WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_NAME_5
3,19,IMMACULATE HEART OF MARY CH-HALL,4515,S,Ashland,Av,,,
3,20,TRINITY ACRES SR BLDG-CONFERENCE,3939,S,Calumet,Av,,,
3,21,HOPE SCHOOL - HALLWAY,5515,S,Lowe,Av,,,
3,22,FULLER PARK-GAME RM,331,W,45,St,,,
3,23,CHGO BEE LIBRARY-AUDITORIUM,3647,S,State,St,,,
3,24,WILLA RAWLS MANOR APTS-COMMUNITY,4120,S,Indiana,Av,,,
3,25,SHERWOOD PARK-CLUB RM #1,5701,S,Shields,Av,,,
3,26,DEWEY SCHOOL-HALLWAY,5415,S,Union,Av,,,
3,27,FIRST UNITY M B CH-HALL,5129,S,Indiana,Av,,,
3,28,CHGO POLICE DEPT-COMMUNITY RM,1718,S,State,St,,,
3,29,T E BROWN APARTMENTS-DAYROOM,3601,S,Wells,Av,,,
3,30,LUTHER TERRACE-SR CENTER,4747,S,King,Dr,,,
3,31,LUTHER TERRACE-SR CENTER,4747,S,King,Dr,,,
3,32,MT PISGAH MISSIONARY BAPT CH-HAL,4622,S,M,L,King,Jr,Dr
3,33,THE PERSHING-COMMUNITY RM,3845,S,State,St,,,
3,34,EBENEZER M B CH-HALL,4511,S,Vincennes,Av,,,
3,35,HALL LIBRARY-AUDITORIUM,4801,S,Michigan,Av,,,
3,36,ST MARTINS CHURCH OF CHRIST-FOYE,5648,S,State,St,,,
3,37,OVERTON SCHOOL-GYM,221,E,49,St,,,
3,38,PIONEER VILLAGE-MEETING RM,340,E,38,St,,,
3,39,STEWART PHASE 1-ACTVTY RM 2nd FL,400,E,41,St,,,
3,40,GREATER MT MORIAH BAPT CH-FELLOW,214,E,50,St,,,
3,41,SOUTH VIEW MANOR-DINING RM,3311,S,Michigan,Av,,,
3,42,BURKE SCHOOL-CLASSROOM 101,5356,S,M,L,King,Jr,Dr
3,43,DEARBORN HOMES-MEETING RM,2731,S,Dearborn,Av,,,
3,44,HOPE SCHOOL - HALLWAY,5515,S,Lowe,Av,,,
3,45,18th & WABASH CORPORATION-MEETIN,1801,S,Wabash,Av,,,
3,46,DEARBORN HOMES-MEETING ROOM,2930,S,Dearborn,St,,,
3,47,PRINCETON CENTER-DINING RM,4250,S,Princeton,Av,,,
3,48,LOVE CATHEDRAL CMTY CHURCH-HALL,5112,S,Halsted,St,,,
3,49,LIBERTY BAPT CHURCH-BASEMENT,4849,S,M,L,King,Jr,Dr
3,50,HOUSE OF PRAYER CH-MEETING RM,5159,S,Halsted,St,,,
4,1,UNITED CHURCH OF HYDE PARK - CH,1448,E,53,St,,,
4,2,LAKE MEADOWS APT - CMTY RM,401,E,32,St,,,
4,3,DREXEL SQUARE APTS - LOBBY,810,E,Hyde,Park,Blvd,,
4,4,LAKE PARC PLACE-SOCIAL RM,3983,S,Lake,Park,Av,,
4,5,VIVIAN GORDON HARSH APARTMENTS-S,4227,S,Oakenwald,Av,,,
4,6,NORTH WASHINGTON PARK MANOR - LO,550,E,50,Pl,,,
4,7,MWPH GL OF ILLINOIS- WILLIE EVAN,809,E,42,Pl,,,
4,8,NORTH WASHINGTON PARK MANOR - LO,550,E,50,Pl,,,
4,9,HARPER SQUARE CO-OPERATIVE-LOBBY,4850,S,Lake,Park,Av,,
4,10,KENNICOTT PARK - GYM,4434,S,Lake,Park,Av,,
4,11,DONOGHUE SCHOOL-GYMNASIUM,707,E,37,St,,,
4,12,MARY JANE RICHARDSON APT - DININ,4930,S,Langley,Ave,,,
4,13,CHURCH OF LATTER DAY SAINTS-REC,5200,S,University,Av,,,
4,14,MARTIN L KING HIGH SCHOOL-GYMNAS,4445,S,Drexel,Bv,,,
4,15,KENWOOD CHURCH OF CHRIST-FLLWSHP,4608,S,Greenwood,Av,,,
4,16,ALPHA TOWERS-REC ROOM,936,E,47,St,,,
4,17,REGENTS PARK APARTMENTS-HOSPITAL,5050,S,Lake,Shore,Dr,,
4,18,FULLER SCHOOL- AUDITORIUM,4214,S,St,Lawrence,Av,,
4,19,LAWLESS GARDEN APTS - LOBBY,3620,S,Rhodes,Av,,,
4,20,DONOGHUE SCHOOL-GYMNASIUM,707,E,37,St,,,
4,21,CHURCH OF LATTER DAY SAINTS-REC,5200,S,University,Av,,,
4,22,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,23,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,24,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,25,LAKE MEADOWS CONDOMINIUM - LOBBY,601,E,32,St,,,
4,26,ALPHA TOWERS-REC ROOM,936,E,47,St,,,
4,27,LAKE MEADOWS APT - CMTY RM,401,E,32,St,,,
4,28,CHURCH OF LATTER DAY SAINTS-REC,5200,S,University,Av,,,
4,29,HERBERT REALTY TWIN TOWERS - LOB,1649,E,50,St,,,
4,30,PRAIRIE SHORES APTS - LOBBY,2901,S,Ml,King,Dr,,
4,31,NICHOLS PARK-GYMNASIUM,1355,E,53,St,,,
4,32,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,33,NORTH EASTHERN UNIVERSITY,700,E,Oakwood,Av,,,
4,34,PIONEER CO - OP - SOCIAL RM,5429,S,Dorchester,Av,,,
4,35,CHRIST THE KING LUTHERAN CHURCH-,3701,S,Lake,Park,Av,,
4,36,KENNICOTT PARK - GYM,4434,S,Lake,Park,Av,,
4,37,DONOGHUE SCHOOL-GYMNASIUM,707,E,37,St,,,
4,38,CONGREGATION RODFEI ZEDEK - LOBB,5200,S,Hyde,Park,Bv,,
4,39,JUDGE SLATER SENIOR APTS - REC R,740,E,43,St,,,
4,40,WASHINGTON PARK APARTMENTS - AUD,4949,S,Cottage,Grove,Av,,
4,41,AUGUSTANA LUTHERAN CH - MULTI PU,5500,S,Woodlawn,Av,,,
4,42,PRAIRIE SHORE APTS - LOBBY,2801,S,Ml,King,Dr,,
4,43,NICHOLS PARK-GYMNASIUM,1355,E,53,St,,,
4,44,HYDE PARK APTS - HOSPITALITY RM,5330,S,Harper,Av,,,
4,45,NEWPORT CONDO ASSCO - FORMER STO,4800,S,Chicago,Beach,Dr,,
4,46,FIRST BAPTIST CHURCH OF CHICAGO,935,E,50,St,,,
4,47,KENWOOD ACADEMY - GYM,5015,S,Blackstone,Av,,,
4,48,CONGREGATION RODFEI ZEDEK - LOBB,5200,S,Hyde,Park,Bv,,
4,49,JUDGE SLATER SENIOR APTS - REC R,740,E,43,St,,,
4,50,MARY JANE RICHARDSON APT - DININ,4930,S,Langley,Ave,,,
4,51,LAKE MEADOWS APTS - LOBBY,500,E,33,St,,,
4,52,LAWLESS GARDEN APARTMENTS - LOBB,3510,S,Rhodes,Av,,,
5,1,SENIOR SUITES OF SOUTH SHORE - C,2355,E,67,St,,,
5,2,REVERE SCHOOL - GYM,1010,E,72nd,St,,,
5,3,AUGUSTANA LUTHERAN CH - MULTI PU,5500,S,Woodlawn,Av,,,
5,4,DR E A BOUCHET ACADEMY - AUDITOR,7355,S,Jeffery,Bv,,,
5,5,MT PLEASANT BAPTIST CHURCH - CHO,6614,S,Blackstone,Av,,,
5,6,SOUTH SHORE UNITED METH CH - HAL,7350,S,Jeffery,Bv,,,
5,7,ST PHILLIP NERI SCHOOL - GYM,2110,E,72,St,,,
5,8,RAY SCHOOL - GYM,5631,S,Kimbark,Av,,,
5,9,THE UPPER ROOM MINISTRIES - SANC,1400,E,72,St,,,
5,10,FERMI SCHOOL - CORRIDOR,1415,E,70,St,,,
5,11,CATHOLIC THEOLOGICAL UNION - CT,5401,S,Cornell,Av,,,
5,12,MADISON SCHOOL - GYM,7433,S,Dorchester,Av,,,
5,13,WOODLAWN CMTY SCHOOL -TEACHERS L,6657,S,Kimbark,Av,,,
5,14,ST PHILLIP NERI SCHOOL - GYM,2110,E,72,St,,,
5,15,KOZMINSKI CMTY ACADEMY - AUDITOR,936,E,54,St,,,
5,16,DUMAS SCHOOL - GYM,6650,S,Ellis,Av,,,
5,17,GOOD SHEPHERD MANOR - CMTY RM,6720,S,Cornell,Av,,,
5,18,HYDE PARK WEST APARTMENTS - REC,5325,S,Cottage,Grove,Av,,
5,19,THE UPPER ROOM MINISTRIES - SANC,1400,E,72,St,,,
5,20,MADISON SCHOOL - GYM,7433,S,Dorchester,Av,,,
5,21,PARKSIDE SCHOOL - RM 106,6938,S,East,End,Av,,
5,22,ISLAND TERRACE APARTMENTS,6430,S,Stony,Island,Av,,
5,23,REVERE SCHOOL - GYM,1010,E,72nd,St,,,
5,24,1700 E 56TH ST CONDO ASSOC - PEN,1700,E,56,St,,,
5,25,THE PARKWAYS - ACTIVITY RM,6720,S,East,End,Av,,
5,26,OKEEFE SCHOOL - GYM - AUDITORIUM,6940,S,Merrill,Av,,,
5,27,RAY SCHOOL - GYM,5631,S,Kimbark,Av,,,
5,28,ABJ CMTY SERVICES - HARRIS HALL,1818,E,71st,St,,,
5,29,OKEEFE SCHOOL - GYM - AUDITORIUM,6940,S,Merrill,Av,,,
5,30,RAY SCHOOL - GYM,5631,S,Kimbark,Av,,,
5,31,OKEEFE SCHOOL - GYM - AUDITORIUM,6940,S,Merrill,Av,,,
5,32,SENIOR SUITES OF SOUTH SHORE - C,2355,E,67,St,,,
5,33,PARK SHORE EAST ASSOC - COMM RM,6250,S,Harper,Av,,,
5,34,OKEEFE SCHOOL - GYM - AUDITORIUM,6940,S,Merrill,Av,,,
5,35,WINDERMERE HOUSE LLC - WEST LOBB,1642,E,56,St,,,
5,36,CYRIL APTS - LOBBY,7150,S,Cyril,Ct,,,
5,37,MONTGOMERY PLACE - EAST RM,5550,S,South,Shore,Dr,,
5,38,MADISON SCHOOL - GYM,7433,S,Dorchester,Av,,,
5,39,UNIVERSITY PARK CONDO - HOSPITAL,1450,E,55,Pl,,,
5,40,OKEEFE SCHOOL - GYM - AUDITORIUM,6940,S,Merrill,Av,,,
5,41,THE CLOISTERS - CENTER FOYER,5801,S,Dorchester,Av,,,
5,42,FERMI SCHOOL - CORRIDOR,1415,E,70,St,,,
5,43,ABJ CMTY SERVICES - HARRIS HALL,1818,E,71st,St,,,
5,44,OKEEFE SCHOOL - GYM - AUDITORIUM,6940,S,Merrill,Av,,,
5,45,JACKSON PARK TERRACE - CMTY RM,6040,S,Harper,Av,,,
5,46,MONTGOMERY PLACE - EAST RM,5550,S,South,Shore,Dr,,
5,47,RESIDENCE - DINING RM,2201,E,70,Pl,,,
5,48,CAROLAN APTS - LOBBY,5480,S,Cornell,Av,,,
6,1,CRERAR PRESBYTERIAN CHURCH - HA,8100,S,Calumet,Av,,,
6,2,NEW BETHLEHEM NO 4 MB CH - DININ,8850,S,Cottage,Grove,Av,,
6,3,PIRIE SCHOOL - GYM,650,E,85,St,,,
6,4,ALDEN WENTWORTH NRSN HM - LOWER,201,W,69,St,,,
6,5,ST PAUL MB CHURCH - BANQUET HALL,6954,S,Union,Av,,,
6,6,SALEM LUTHERAN CHURCH - HALL,318,E,74,St,,,
6,7,PARK MANOR SCHOOL - GYM,7037,S,Rhodes,Av,,,
6,8,CARTER TEMPLE CHURCH - CHOIR RM,7841,S,Wabash,Av,,,
6,9,TULEY PARK - SENIOR MULTI-PURPOS,501,E,90,Pl,,,
6,10,SENIOR SUITES OF CHATHAM - DININ,8300,S,Cottage,Grove,Av,,
6,11,CHGO SEVENTH DAY EVENTIST ACDY -,7008,S,Michigan,Av,,,
6,12,LAFAYETTE PLAZA HSNG CO-OP - CMT,50,W,71,St,,,
6,13,TULEY PARK - SENIOR MULTI-PURPOS,501,E,90,Pl,,,
6,14,ISRAEL METH CMTY CHURCH - CIVIC,7614,S,Cottage,Grove,Av,,
6,15,ST PAUL MB CHURCH - BANQUET HALL,6954,S,Union,Av,,,
6,16,MACEDONIA TABERNACLE CH - DINING,109,E,75,St,,,
6,17,GILLESPIE SCHOOL - GYM,9301,S,State,St,,,
6,18,PAUL ROBESON HIGH SCHOOL - FOYER,6835,S,Normal,Av,,,
6,19,PLEASANT GREEN MB CHURCH - FELLO,7545,S,Vincennes,Av,,,
6,20,ADA S MCKINLEY APTS - DINING RM,661,E,69,St,,,
6,21,HARLAN HIGH SCHOOL - GYM,9652,S,Michigan,Av,,,
6,22,SHEDD SCHOOL - CAFETERIA,200,E,99th,St,,,
6,23,ST MARK MANOR - CMTY RM,840,E,76,St,,,
6,24,NEW BETHLEHEM NO 4 MB CH - DININ,8850,S,Cottage,Grove,Av,,
6,25,BURNSIDE SCHOOL-GYMNASIUM,650,E,91,Pl,,,
6,26,TULEY PARK - SENIOR MULTI-PURPOS,501,E,90,Pl,,,
6,27,MCDADE SCHOOL - LIBRARY,8801,S,Indiana,Av,,,
6,28,TULEY PARK - SENIOR MULTI-PURPOS,501,E,90,Pl,,,
6,29,NEIL SCHOOL - GYM,8555,S,Michigan,Av,,,
6,30,PARK MANOR CHRISTIAN CHURCH - HA,600,E,73,St,,,
6,31,PIRIE SCHOOL - GYM,650,E,85,St,,,
6,32,DENEEN SCHOOL-LOBBY,7240,S,Wabash,Av,,,
6,33,ST COLUMBANUS CHURCH - GLASS HOU,329,E,71,St,,,
6,34,SENIOR SUITES OF CHATHAM - DININ,8300,S,Cottage,Grove,Av,,
6,35,RUGGLES SCHOOL - GYM,7831,S,Prairie,Av,,,
