WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_TYPE
4,7,Vivian Gordon Harsh Apartments,4227,S,Oakenwald,,,,Ave
4,8,North Washington Park Manor,550,E,50th,,,,Pl
4,9,Harper Square Co-Operative,4850,S,Lake,Park,,,Ave
4,10,Kennicott Park,4434,S,Lake,Park,,,Ave
4,11,Mandrake Park,3858,S,Cottage,Grove,,,Ave
4,12,Mary Jane Richardson Apts,4930,S,Langley,,,,Ave
4,13,Jones College Prep,606,S,State,,,,St
4,14,South Commons Phase 1 Condo,2921,S,Michigan,,,,Ave
4,15,Alpha Towers,936,E,47th,,,,St
4,16,Columbia College Chicago,1104,S,Wabash,,,,Ave
4,17,Grace Episcopal Church,637,S,Dearborn,,,,St
4,18,Judge Slater Apartments,740,E,43rd,,,,St
4,19,Lawless Garden Apartments,3550,S,Rhodes,,,,Ave
4,20,Grace Episcopal Church,637,S,Dearborn,,,,St
4,21,Jones College Prep,606,S,State,,,,St
4,22,Shoesmith School,1330,E,50th,,,,St
4,23,Shoesmith School,1330,E,50th,,,,St
4,24,Shoesmith School,1330,E,50th,,,,St
4,25,Michigan Ave Lofts,910,S,Michigan,,,,Ave
4,26,Washington Park Apartments,4949,S,Cottage,Grove,,,Ave
4,27,United Church Of Hyde Park,1448,E,53rd,,,,St
4,28,Prairie Shores Apts,2901,S,Martin,Luther,King,Jr,Dr
4,29,Judge Slater Apartments,740,E,43rd,,,,St
4,30,Mandrake Park,3858,S,Cottage,Grove,,,Ave
4,31,Newport Condo Assoc,4800,S,Chicago,Beach,,,Dr
4,32,Northeastern Illinois University,700,E,Oakwood,,,,Bv
4,33,Drexel Square Apts,810,E,Hyde,Park,,,Bv
4,34,King College Prep,4445,S,Drexel,,,,Bv
4,35,Lake Meadows Condo,601,E,32nd,,,,St
4,36,Martin L King Library,3436,S,Martin,Luther,King,Jr,Dr
4,37,South Loop School,1212,S,Plymouth,,,,Ct
4,38,Lake Meadows Apt,401,E,32nd,,,,St
5,1,OKeefe School,6940,S,Merrill,,,,Ave
5,2,Revere School,1010,E,72nd,,,,St
5,3,Augustana Lutheran Ch,5500,S,Woodlawn,,,,Ave
5,4,Kozminski Cmty Academy,936,E,54th,,,,St
5,5,Island Terrace Apartments,6430,S,Stony,Island,,,Ave
5,6,St Philip Neri School,2110,E,72nd,,,,St
5,7,Regents Park Apartments,5050,S,Lake,Shore,,,Dr
5,8,Ray School,5631,S,Kimbark,,,,Ave
5,9,Church Of Latter Day Saints,5200,S,University,,,,Ave
5,10,Parkside School,6938,S,East,End,,,Ave
5,11,Carolan Apts,5480,S,Cornell,,,,Ave
5,12,St Paul Evangelical Luth Church,7621,S,Dorchester,,,,Ave
5,13,Woodlawn Cmty School,6657,S,Kimbark,,,,Ave
5,14,St Philip Neri School,2110,E,72nd,,,,St
