,Latitude,Longitude
1053388,41.904135424,-87.74932590200001
1053433,41.719233635,-87.62618177
1053496,41.736219112,-87.58811465299999
1053974,41.910513449,-87.67579838
1054540,41.762963962,-87.59090985200001
1054803,42.015839267,-87.693353178
1055077,41.757541178000004,-87.55402096
1055569,41.891694878,-87.62615583200001
1055586,41.773109884,-87.58629471100002
1055589,41.770905627,-87.568273321
1056891,41.877850151,-87.736342529
1056989,41.966637612,-87.70760909
1057765,41.755109275,-87.647796144
1059002,41.900584230999996,-87.674739505
1059216,41.820292825,-87.62850118899998
1059353,41.799638708,-87.75516444899998
1059449,41.839410287,-87.64631363299999
1059857,41.90944114,-87.711893192
1059979,41.828907913,-87.692349187
1062084,41.971047103000004,-87.654870066
1062262,41.892085855,-87.6144317
1062263,41.925029681,-87.67758957
1062301,41.974172684,-87.78133900200001
1063818,41.708894356,-87.63177027100002
1064507,41.915999155,-87.67436059299999
1064560,41.857308478,-87.619340066
1064641,41.697089667,-87.69707612399998
1066928,41.961778977,-87.759888997
1067706,41.871552304,-87.73060366799999
1068081,41.780344546,-87.785028313
1069716,41.881736378,-87.75138436799999
1070340,41.79388474,-87.61786245399998
1070753,41.80829571,-87.693343321
1072737,41.779428911,-87.66591654700001
1072806,41.720667546,-87.634481048
1074374,41.763128478,-87.55969337299999
1074839,41.971017346,-87.669495035
1076428,41.928215105999996,-87.720188899
1077229,41.687086775,-87.713689895
1078470,41.797013273000005,-87.66952616299999
1079549,41.785930664,-87.723266186
1080410,41.965558547,-87.68233294299999
1080493,41.895692026,-87.627298109
1082702,41.85215805,-87.67692861
1083273,41.81410035,-87.59935831
1083316,41.941034149000004,-87.639335535
1083501,42.016968725,-87.68435172
1083504,41.881833031,-87.74396932799999
1083652,41.942121855,-87.81161256700001
1084104,41.735174693000005,-87.70292155700001
1084200,41.721056769,-87.67386894100002
1084458,41.868385458,-87.639229711
1084513,41.786260252,-87.702483681
1085345,41.765691661999995,-87.68326874200001
1085400,41.818449313,-87.688396057
1085947,41.986181171999995,-87.658097002
1086575,41.742961201,-87.549653615
1086604,41.880984581,-87.705056052
1089835,41.776675204,-87.7178033
1089955,41.756874001999996,-87.557624442
1090409,41.722831976,-87.606910954
1090485,41.777851888,-87.59690111799999
1091232,41.784608173,-87.653414609
1091429,41.947784543000004,-87.66282530000002
1092102,41.88213835,-87.682600206
1092343,41.760122779,-87.69046117799999
1094194,42.021579191,-87.671895131
1095110,41.90148192,-87.725043718
1095358,41.929739724,-87.647686152
1095872,42.00536137,-87.67147078299999
1096842,41.958051956999995,-87.717943355
1097595,41.900231141,-87.692852232
1099052,41.968924107,-87.71582362299999
1101061,41.91007391,-87.65310610600002
1101379,41.74069469,-87.70063977299999
1101562,41.740589482,-87.657114588
1101627,41.771146185999996,-87.722570475
1102216,41.904689828,-87.773022314
