,Latitude,Longitude
940902,41.713552409,-87.62254482899998
940906,41.885740288,-87.631590568
940908,41.909936584,-87.627622427
940911,41.799823914,-87.703736983
940916,41.74621174,-87.635406033
940918,41.976851851999996,-87.654999693
940919,41.779597995,-87.637522586
940920,41.764995286,-87.658166965
940921,41.784358494,-87.659478171
940922,41.791620218,-87.663289176
940923,41.707250544000004,-87.604006449
940926,41.871862795,-87.707084005
940927,41.985182385,-87.728499523
940931,41.906611108,-87.773086334
940932,41.930104612,-87.77593102600002
940934,41.801807599,-87.63257314
940935,41.880904521,-87.71203023
940937,41.765975122,-87.718305135
940942,41.878743645,-87.736124908
940944,41.765557778,-87.605564121
940945,41.894302232,-87.71871731600002
940949,41.761931206999996,-87.582326542
940952,41.8173342,-87.61165854
940953,41.802075618,-87.59049887200001
940957,41.724476858,-87.620662432
940958,41.882180394,-87.76886743600002
940959,41.901038129,-87.758214118
940960,41.835434506,-87.654733702
940961,41.772382711999995,-87.61865868
940962,41.776447984,-87.695764433
940965,41.862903005999996,-87.62405026
940967,41.941794444,-87.726042749
940968,41.858858907,-87.725686431
940971,41.948800987,-87.76307481799999
940974,41.692041778000004,-87.665923635
940976,41.947943638000005,-87.748121185
940978,41.801770459000004,-87.683681739
940979,41.870241226,-87.687317637
940980,41.77941496,-87.608366193
940981,41.762367788,-87.591657128
940984,41.891179152,-87.647911383
940987,41.796142711,-87.720789272
940988,41.883500186999996,-87.627876698
940989,41.852123965,-87.679131253
940991,41.883211912,-87.63143829399998
940992,41.94428304,-87.748158338
940993,41.727161595,-87.587915279
940994,41.711709381,-87.618748824
940995,41.750832464,-87.605224746
940996,41.98071427,-87.805126174
940997,41.800358464,-87.697650975
940998,41.951129143,-87.707940924
940999,41.891990384,-87.61146150200001
941000,41.881524451,-87.662706932
941001,41.878567628,-87.627688599
941003,41.989243623,-87.665119726
941004,41.785122047,-87.60603224
941005,41.957968324,-87.748672874
941007,41.856559915,-87.661282939
941008,41.870761846,-87.69601765899998
941009,41.978192697,-87.657144285
941010,41.905354493000004,-87.721513421
941011,41.754423521,-87.569942385
941012,41.780328363,-87.717896689
941013,41.869538211999995,-87.722846371
941018,41.693710367,-87.647287824
941019,41.778579277,-87.677543839
941020,41.852460082,-87.695465271
941023,41.870556289,-87.720262929
941026,41.872709250999996,-87.711856258
941027,41.86412761,-87.70925941
941029,41.90971226,-87.73926766
941030,41.788339891,-87.740514226
941031,41.815150109,-87.69074023600002
941034,41.764188799,-87.592321598
941035,41.916964702,-87.806030631
941036,41.895403797,-87.722012429
941037,41.809569293,-87.603624629
941042,41.968788631,-87.67657836299999
941043,41.890193984,-87.752978676
941044,41.881197451,-87.76653692
941045,41.850800938,-87.73231072700001
941046,41.851604003,-87.720179665
941049,41.761887666,-87.59210249700001
941052,41.803201891,-87.72198373
941053,41.965836398,-87.657752976
941054,41.864217865,-87.702173146
941055,41.874343853,-87.726556857
941056,41.783582491,-87.69961333200001
941058,41.855524939,-87.69785379999998
941059,41.680950591,-87.539651245
941060,41.924023979,-87.762641425
941061,41.707519433,-87.601839023
941064,41.960289652,-87.706994688
941066,41.754248779,-87.582152235
941068,41.857772856,-87.66740416799999
941069,41.755125823,-87.665988811
941070,41.858799452,-87.70544945799999
941071,41.880399914,-87.75300855299999
941072,41.691413679,-87.66882624600002
941073,42.000874331,-87.67046876299999
941074,41.933780135,-87.777269865
941075,41.727070835999996,-87.598536396
941079,41.857680243000004,-87.674662315
941080,41.899016014000004,-87.64184765899998
941081,41.828347945,-87.632650679
941082,41.721789488,-87.62010970200001
941083,42.014916096,-87.670904385
941084,41.826989318,-87.61924777799999
941085,41.947895503000005,-87.674885025
