GEO.id,GEO.id2,GEO.display-label,,,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,0,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",203.01,203.01,0,5.80263409,5239,454,3637,434,0,15,76,74,1222,202,304,110
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",203.02,203.02,0,28.0799828,4651,600,2672,587,14,18,32,37,627,213,1306,523
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",204,204,0,16.69771775,4294,358,2797,253,0,11,18,16,762,221,717,207
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",205,205,0,25.79946702,6004,773,3107,488,2,5,29,46,1317,290,1549,635
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",206.01,206.01,0,31.312528,6697,765,3121,561,17,26,88,51,1374,318,2097,617
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",206.02,206.02,0,25.01218918,4102,426,2070,292,28,35,44,38,934,217,1026,260
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",207.01,207.01,0,9.72002113,1893,360,1140,267,11,18,29,29,529,109,184,89
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",207.02,207.02,0,17.89358601,8232,1150,4135,752,4,8,451,353,2169,577,1473,503
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",208.01,208.01,0,10.3501773,4512,381,2799,485,72,80,0,11,1174,372,467,277
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",208.02,208.02,0,46.39889197,7942,1087,2695,614,19,33,24,30,1519,373,3685,828
