tract,percent_disability_2016,percent_disability_2015,percent_disability_2014,percent_disability_2013,percent_disability_2012
5501,,14.6,15.8,15.4,13.3
5502,,11.5,11.9,13,11.4
5601,,7,7.1,11.8,8.6
5602,,18.2,16.4,19.5,16.4
5603,,8.4,8.4,8.5,7.8
5604,,8.6,7.3,7.1,5.2
5607,,10.2,12.1,12.6,12.8
5608,,10.8,10.6,10.3,10.6
5609,,10.9,10.1,10,11.3
5610,,12.6,11.8,10.5,11.2
5611,,10.8,10.2,8.9,9.3
5701,,7.9,6.9,7,6.6
5702,,13.8,12.2,13.1,10.6
5703,,7.7,7.2,6.7,6.5
5704,,2.3,3.7,4.4,6.5
5705,,6,5.6,4.5,6.3
5801,,4.6,7,7,5.1
5802,,10,9.6,5.1,7.1
5803,,8,6.5,5.7,5.8
5804,,13.5,11,10.2,10.6
5805.01,,8.1,8.4,9.4,7.4
5805.02,,8.4,8.6,8.6,7.6
5806,,7.3,7.5,6.5,5.8
5807,,11.3,8.6,7.5,6.7
5808,,5.4,6.9,6.8,7
5905,,7.8,5.7,6,5
5906,,11.7,9.5,6.9,7.4
5907,,10.7,10,11.5,9
6004,,9.3,10.2,9.8,11.9
6006,,8.1,11.5,10.1,9.7
6007,,8.8,8.3,4.8,4.9
6009,,10,10.7,10.8,10
6103,,8.3,7.3,8.2,8.7
6104,,10.2,7.4,3.7,2.3
6108,,16.4,15.8,16.1,11.7
6110,,8.9,13.2,12.7,15.7
6111,,8.8,7.1,7.4,7.4
6112,,12.4,13.1,12,12.5
6113,,4.8,6,6.9,8.5
6114,,5.1,5.2,4.7,3.4
6115,,7.9,9.4,10,10.4
6116,,4.2,4.6,5.9,5.6
6117,,8.3,13.3,10.7,10.3
6118,,10.3,10.1,12.2,8.5
6119,,13,17.2,20.2,18.2
6120,,11,10.8,10.6,14.2
6121,,21.1,27.1,20.9,23.3
6201,,7,7.1,5.9,6.2
6202,,10.1,11.4,10.7,12.2
6203,,9.2,6.8,7.7,7.6
6204,,6.3,5.2,4.8,4.6
6301,,9,8.5,9.6,7.4
6302,,10,9.9,9.8,8.1
6303,,5.6,5.4,4.8,5.5
6304,,6.6,7.6,7.3,7.8
6305,,4.8,5.1,4.4,3.7
6308,,7.4,7.7,7,7
6309,,5,3.7,3.6,4.8
6401,,10.9,9.2,5.8,9.5
6403,,10.7,8.6,6.7,7.7
6404,,9.9,10.2,10.2,10.5
6405,,10.8,10.1,10.2,9.8
6406,,13.6,11.6,10.8,9.6
6407,,6.8,8.7,9,10.4
6408,,7.7,8,6.4,5.5
6501,,8.4,8.2,10.1,7.9
6502,,8.6,10.1,8.4,8.3
6503.01,,6.8,7.4,5.4,5.5
6503.02,,8.6,7.8,8.8,7.1
6504,,8.8,6.3,5.8,6.8
6505,,12.2,11.8,10.7,10.3
6603.01,,10.3,7.1,6.5,6.3
6603.02,,8.1,9.3,9.2,9.2
6604,,5.8,7,7.7,7.3
6605,,6.6,8.4,7.1,6.4
6606,,9.8,7.2,5.2,7
6607,,16.9,22,25.5,28.1
6608,,6.6,7,7.4,7.4
6609,,10.1,12.3,10.7,10.2
6610,,10.7,11.7,10.6,12.1
6611,,7.9,8.4,10,8.2
6701,,13.6,13.7,11.7,14.4
6702,,6.4,11.4,12,19.9
6703,,16.2,17.3,18.6,16.9
6704,,15.6,19.2,20.9,17.8
6705,,20.5,18.1,20.4,20.5
6706,,18.2,15.8,15,16
6707,,10.7,9.8,9.8,14.4
6708,,11.9,11.6,11,12.5
6709,,12.1,13.5,12.2,16.8
6711,,11,9.4,8.9,10.5
6712,,16,18.8,18.3,15.6
6713,,12.3,16.2,16.5,17
6714,,20.9,20.3,18.5,16.1
6715,,22.1,19.2,13.8,15.4
6716,,23.3,21.4,23.8,24.9
6718,,10.6,16.9,17.6,14.4
6719,,18.6,16.1,17.4,19.1
6720,,13.4,13.7,12.8,14.1
6805,,16.2,10.6,16.4,14.4
6806,,13.4,20.5,21.7,25.8
6809,,19.8,18,18.3,18.5
6810,,21.9,18.7,17.2,15.4
6811,,15.1,15.6,14.6,15
6812,,15.4,15,14.3,13.4
6813,,15.4,18.3,18.8,19.8
6814,,19.5,16.8,17.5,19.4
6903,,13.2,16.7,18.7,20.4
6904,,20.9,17.9,19.9,20.6
6905,,11.2,13.2,13.4,16.3
6909,,14.3,12.4,12.2,12.3
6910,,16.9,14.9,13.2,15.3
6911,,16.3,13.8,16.1,16
6912,,18.4,16.4,13.3,15.1
6913,,15.1,15.6,13.4,11.1
6914,,16.8,17,17.7,19.5
6915,,15.7,13.8,10.7,11.7
7001,,6.5,7.2,7.1,5.7
7002,,8.3,8.3,5.2,4.7
7003.01,,9.8,9.6,10.2,11.2
7003.02,,9.2,7.6,7.8,10.2
7004.01,,9.1,9.2,8.2,7.9
7004.02,,8.6,8.2,7.2,7.7
7005.01,,15.3,15,16.7,14.5
7005.02,,5,4.1,7.1,9.6
7101,,17.7,12.5,13.4,16.3
7102,,14.4,12.2,7.8,10.4
7103,,19.4,19.9,19.7,16.6
7104,,17.9,19.4,17.5,15.3
7105,,15.9,14.7,15.2,14.3
7106,,15.3,17.4,16.6,14.9
7107,,18.7,17.1,17.6,15.9
7108,,14.4,13.8,11.9,16.1
7109,,16.7,16.6,12.6,14
7110,,16.7,17.9,18.3,21
7111,,14.2,17.8,14.1,12.4
7112,,16.1,20.5,20.7,18.7
7113,,20.3,18.7,16.7,18
7114,,15.9,14.8,14.6,20.9
7115,,18.5,17.6,15.5,13.3
7201,,7.8,9,8.7,8.9
7202,,8.3,6.6,5,6
7203,,5,5.7,7.2,9
7204,,9.3,8.2,8.1,9.3
7205,,6.7,6.1,4.4,3.7
7206,,5.2,5,5,5.1
7207,,10,9.9,8.7,12.1
7301,,14.7,13.1,14,12
7302.01,,11.4,11.8,12.9,13.5
7302.02,,14.5,14.6,14.6,12.1
7303,,12.6,12.4,11.7,12.4
7304,,19.2,20,17.7,20.4
7305,,17,15.7,15.9,18.1
7306,,21.6,21.6,19.9,20.6
7307,,21.6,16.5,16,14.6
7401,,10.4,10.4,12.5,10.7
7402,,9.4,10.3,9.6,9.9
7403,,7.4,7.3,8.8,7.1
7404,,6.6,7,6.2,7.7
7501,,17.6,16.7,16.5,16.3
7502,,10,9.9,9.3,10.6
7503,,8.3,8.1,5.2,5.1
7504,,7.9,6.6,5,8.4
7505,,17.8,19.5,15.4,19.9
7506,,17.1,18.9,17.1,13.3
7608.01,,7.7,9.3,10.4,9.8
7608.02,,14.1,14.2,14.4,16.4
7608.03,,7.1,6.4,5.2,5.7
7702.01,,10.7,11.2,11.2,10.5
7702.02,,11.4,14.6,11.5,13.1
7703,,7.3,6.9,7.1,6.8
7704,,10.4,9.8,8.1,6.1
7705,,3.9,3.2,4.9,5.5
7706.01,,8.7,8.2,7.4,7.1
7706.02,,4.5,4.6,5.6,6.1
7707,,9.2,8.8,8.3,8.8
7708,,10,9.1,8.2,9.7
7709.01,,15.3,17.1,18.6,18.8
7709.02,,9.7,9.3,10.8,16
8001,,6,6.6,6.7,5.6
8002,,5,4,3.9,3.7
8003,,3.9,4.8,5.1,5.9
8004,,4.1,5.2,5.1,4.5
8005,,7.9,6.8,6.1,6.4
8006,,5,6.1,5.4,5.9
8007,,5.9,6.8,7.2,6.8
8008,,6,6.6,6.4,8.5
8009,,6.9,6.5,5.1,5.8
8010,,9.7,10.9,9.4,9
8011,,5.2,5.2,5.5,5.7
8012,,10.2,9.4,9.6,8.1
8013,,5.6,6.7,7.3,7
8014,,6.2,6.6,6.7,9.1
8015,,9.5,12.2,12.9,11.7
8016.01,,8.8,8.3,9.4,9.1
8016.03,,9.9,11.8,10.6,9.8
8016.05,,8.9,8.3,6.9,6.8
8016.06,,11.4,10.5,11.3,9.5
