tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
804,, 6.907 , 7.092 , 2.864 , 2.315 , 2.368 
810,, 14.959 , 11.566 , 11.509 , 12.487 , 12.347 
811,, 9.028 , 9.653 , 9.830 , 11.313 , 8.865 
812.01,, 11.362 , 8.765 , 5.449 , 5.583 , 5.815 
812.02,, 2.562 , 2.701 , 2.693 , 4.092 , 4.547 
813,, 13.953 , 11.894 , 11.474 , 9.522 , 7.856 
814.01,, 9.285 , 13.394 , 14.534 , 15.844 , 17.261 
814.02,, 13.325 , 4.352 , 6.262 , 7.636 , 7.612 
814.03,, 16.982 , 15.448 , 15.488 , 13.710 , 11.985 
815,, 10.910 , 12.364 , 11.940 , 12.347 , 13.719 
816,, 5.299 , 9.348 , 9.778 , 13.816 , 15.474 
817,, 13.327 , 12.753 , 16.186 , 18.363 , 20.540 
818,, 4.887 , 4.741 , 5.177 , 4.776 , 4.016 
819,, 5.916 , 5.816 , 3.392 , 2.347 ,0.00 
901,, 4.532 , 4.200 , 4.132 , 1.825 , 1.027 
902,, 4.153 , 3.372 , 3.586 , 3.177 , 1.230 
903,, 0.680 , 0.981 , 1.118 , 0.807 , 0.673 
1001,, 8.874 , 7.077 , 8.148 , 7.634 , 6.050 
1002,, 3.098 , 5.587 , 8.243 , 11.102 , 8.668 
1003,, 2.040 , 2.189 , 2.110 , 3.237 , 2.384 
1004,, 2.810 , 4.163 , 3.816 , 2.182 , 2.370 
1005,, 5.145 , 3.821 , 3.274 , 4.736 , 8.507 
1006,, 6.537 , 6.681 , 6.987 , 10.098 , 9.589 
1007,, 6.412 , 7.496 , 8.948 , 7.968 , 10.442 
1101,, 5.615 , 4.592 , 5.590 , 9.172 , 7.292 
1102,, 10.769 , 9.977 , 13.273 , 16.612 , 16.125 
1103,, 10.177 , 8.638 , 12.693 , 12.720 , 11.545 
1104,, 12.952 , 13.990 , 16.646 , 14.533 , 10.819 
1105.01,, 7.799 , 7.765 , 9.427 , 11.100 , 7.993 
1105.02,, 14.160 , 12.123 , 13.991 , 15.586 , 15.611 
1201,, 1.816 , 2.079 , 1.779 , 2.210 , 2.886 
1202,, 5.629 , 4.899 , 5.015 , 3.529 , 4.736 
1203,, 5.767 , 4.871 , 2.533 , 2.073 , 3.534 
1204,, 7.600 , 7.139 , 6.611 , 5.593 , 4.867 
1301,, 7.003 , 8.240 , 5.594 , 6.714 , 8.164 
1302,, 17.160 , 18.836 , 17.320 , 17.591 , 7.463 
1303,, 16.673 , 15.418 , 17.231 , 19.751 , 22.410 
1401,, 36.783 , 36.259 , 39.291 , 35.371 , 39.315 
1402,, 29.990 , 31.637 , 32.844 , 37.106 , 42.061 
1403.01,, 34.596 , 30.968 , 37.240 , 38.444 , 37.230 
1403.02,, 27.775 , 26.789 , 26.583 , 25.488 , 24.614 
1404,, 13.253 , 16.463 , 20.185 , 20.700 , 18.107 
1405,, 22.564 , 25.309 , 25.596 , 28.096 , 27.030 
1406.01,, 41.545 , 41.361 , 43.444 , 47.556 , 43.251 
1406.02,, 29.817 , 30.958 , 34.302 , 37.011 , 34.858 
1407.01,, 23.997 , 21.887 , 24.390 , 26.310 , 29.142 
1407.02,, 34.124 , 31.110 , 27.990 , 25.735 , 27.773 
1408,, 16.977 , 21.889 , 21.923 , 19.710 , 20.254 
1502,, 14.902 , 14.973 , 13.735 , 13.463 , 11.586 
1503,, 7.315 , 8.065 , 8.579 , 8.761 , 6.811 
1504.01,, 7.009 , 6.285 , 7.983 , 8.789 , 10.445 
1504.02,, 14.918 , 11.746 , 10.626 , 10.243 , 10.532 
1505.01,, 8.446 , 8.255 , 7.375 , 8.347 , 12.335 
1505.02,, 11.758 , 11.399 , 12.845 , 12.298 , 9.764 
1506,, 8.074 , 6.774 , 7.910 , 7.068 , 11.437 
1507,, 14.311 , 14.196 , 15.762 , 15.480 , 13.541 
1508,, 19.438 , 17.538 , 16.414 , 15.991 , 18.165 
1510.01,, 22.227 , 23.168 , 20.942 , 17.808 , 19.272 
1510.02,, 25.132 , 23.543 , 25.685 , 24.651 , 24.681 
1511,, 23.731 , 23.113 , 23.204 , 24.742 , 26.900 
