tract,percent_high_school_2016,percent_high_school_2015,percent_high_school_2014,percent_high_school_2013,percent_high_school_2012,percent_high_school_2011
1404,,87.61265241,86.06749536,82.38214748,79.96844151,81.94685031
1405,,77.89878283,75.30120401,74.71769856,70.19758016,60.98654545
1406.01,,65.28590725,62.91470722,60.31886792,55.37047789,56.82222222
1406.02,,71.33741705,69.70620826,61.84622477,53.4248054,54.61996709
1407.01,,87.53129695,82.24037559,82.18112706,75.50583768,68.67397403
1407.02,,68.63736264,68.87750978,67.55085865,63.07049808,60.5216192
1408,,84.87057966,81.35226256,81.35289448,77.73311258,76.00952381
1502,,87.06686188,86.51665615,85.68794711,85.3881072,86.00150754
1503,,91.27547869,93.48680801,91.46473957,88.60333141,84.64065294
1504.01,,87.68824306,86.31194667,88.37021446,87.83764045,85.02619177
1504.02,,87.26728723,83.98531187,82.27413852,80.95232198,76.70102215
1505.01,,88.80208333,89.84520783,90.19836852,92.88285714,93.8648086
1505.02,,83.75032921,78.16233993,77.39472376,77.85645844,77.96857723
1506,,91.4379085,89.48141834,87.8383429,85.02437096,81.71680786
1507,,84.7256686,83.33221884,79.80716418,78.64908648,85.35391015
1508,,74.06442444,73.24425848,73.78560197,74.09722222,75.36560445
1510.01,,72.71778821,67.54646251,63.80914127,67.46249342,69.02985318
1510.02,,79.05001573,78.12216539,72.94496288,73.81861257,73.45541842
1511,,73.81725417,74.89342327,76.8297457,80.35786829,81.47489083
1512,,79.20520726,75.77649587,77.53078983,73.8863869,72.89996577
1601,,84.44647758,82.21770158,82.551047,81.8573327,82.43039742
1602,,91.97674419,85.35221843,85.09883351,85.10293501,84.8264611
1603,,86.43962848,81.41692589,76.68343539,76.74653619,80.27471094
1604,,73.93909136,76.49745597,76.12951939,74.17414587,71.07144886
1605.01,,66.39077742,66.80239596,66.92424537,59.90504648,61.32281929
1605.02,,74.89966039,70.97114914,65.45598016,63.01028653,61.09031969
1606.01,,71.75980975,66.64370861,67.42941989,73.63333333,82.89847716
1606.02,,82.37913486,82.94971061,82.8483165,82.89299611,82.44699902
1607,,82.137031,79.04857997,83.24254835,81.53277962,79.4929702
1608,,81.59347252,82.23861644,81.53686846,80.15912603,79.35174825
1609,,95.80133129,95.11240721,90.70712401,86.25920304,83.55269857
1610,,92.39209949,92.2571223,91.47730968,90.75981173,93.24384787
1611,,94.67414156,92.50512295,95.5697201,93.63540904,94.29232643
1612,,76.2656758,78.84431256,74.73403116,79.33345398,79.26545455
1613,,78.84488449,75.31752709,73.55963612,74.94690774,73.93337684
1701,,83.02325581,83.79867788,84.67251908,83.30965293,81.95073529
1702,,78.40702604,78.34739496,77.94082925,77.0408472,80.49003415
1703,,89.50131234,89.04576489,86.83176154,85.15218129,85.49145417
1704,,87.00895934,83.06608187,83.13946844,83.56726979,82.26965995
1705,,92.21571498,89.96780488,88.21571649,87.40122699,85.43829951
1706,,87.68472906,88.80922592,89.14748527,89.27158879,88.56339962
1707,,86.93309385,87.13441258,83.62052462,77.77902299,80.10457097
1708,,87.24293059,84.91000966,80.43114754,81.64055223,82.74343164
1709,,83,84.26239762,84.38601824,85.96527037,79.94577677
1710,,88.78024528,86.85027122,87.98159145,87.43556485,86.68664352
1711,,84.24574209,86.5,83.43292439,84.23771647,80.96829716
1801,,82.38247376,80.73901574,81.23489869,80.10881119,75.18571135
1901,,65.07177033,59.60640292,64.71490872,62.29675162,54.43175429
1902,,63.07849655,62.45371268,65.78691382,70.41921275,70.06660596
1903,,74.24803332,72.19693901,73.41382979,69.75921429,70.08398896
1904.01,,71.44291932,72.62884615,71.16761006,69.56926316,70.97831567
1904.02,,72.55668491,72.56142899,73.92469775,78.13781733,76.16392075
1906.01,,73.06937173,66.63359721,70.88800989,69.98175613,75.00755583
1906.02,,64.04705882,63.02145363,65.16969447,67.66177215,74.06515837
1907.01,,61.47619048,57.55741536,59.05714286,59.21601602,65.27788921
1907.02,,53.23951142,53.95925722,59.53454282,63.101344,65.28821593
1908,,68.25462867,66.97602497,66.09392611,68.12287807,62.47155455
1909,,70.51282051,71.7150392,67.0254321,68.91139988,65.9366782
1910,,51.85919683,53.39383239,49.38674007,42.46325144,40.57476636
1911,,57.39961759,56.96488294,57.83877551,57.41781695,58.54761223
1912,,47.98276537,50.86200236,47.16351178,50.58535188,52.43729038
1913.01,,60.35518412,59.34919063,53.97221043,51.74181064,54.72165207
1913.02,,61.99107641,60.63938635,66.70588809,52.43692661,47.33768116
2001,,70.75042638,71.89750856,67.33566434,68.79634226,65.2521047
2002,,67.62489534,64.66095618,67.50275862,67.77000507,69.35514043
2003,,55.72254335,54.28559474,54.00037712,52.69030381,58.07589286
2004.01,,50.50983248,55.92116119,61.17245902,58.93036984,55.07118156
2004.02,,64.875,65.67409738,62.99865656,60.08042895,56.65164763
2101,,82.01230547,83.16848057,83.02809198,82.83889052,82.75222222
2104,,75.65957447,75.85800337,76.2589983,80.255279,80.16399841
2105.01,,71.69106197,80.03542989,76.06002246,77.17099259,72.9440526
2105.02,,68.5893775,68.6318618,75.09389479,73.89753439,78.67686286
2106.01,,60.51411715,59.29717244,62.86130749,67.96923647,67.48658395
2106.02,,76.16722612,74.88903894,77.27479675,76.40233645,79.53697389
2107,,76.69018225,79.27223065,79.56755682,78.71102362,81.11370629
2108,,82.04833142,87.56963351,83.31705607,78.6640608,86.4
2109,,75.1565762,74.18315412,75.6609901,78.7258444,78.07842809
2203,,89.25064599,88.65879121,93.71135962,85.8010433,90.93057616
2204,,90.19972132,90.83018519,94.2598463,88.97501157,85.58243305
2205,,91.00331675,90.75036622,88.95119538,87.10173339,91.84654709
2206.01,,87.30606488,87.92812983,90.27631579,80.91077739,83.64616653
2206.02,,90.775,86.40886918,84.83250564,87.69256571,88.84270153
2207.01,,81.95458232,78.25,78.05600457,72.12850467,67.12457058
2207.02,,78.3171521,75.38897561,80.19681909,85.6778481,86.00852448
2209.01,,71.34733158,73.59592897,77.88420154,79.54250326,79.63221968
