tract,percent_bachelors_2016,percent_bachelors_2015,percent_bachelors_2014,percent_bachelors_2013,percent_bachelors_2012,percent_bachelors_2011
512,,77.07808564,74.2525,70.48744186,72.91114391,64.3384505
513,,84.28235294,79.77263771,83.32137116,82.7874477,74.7821692
514,,57.94871795,56.07811975,54.81755403,56.88574623,58.41089325
601,,76.68711656,78.53744098,78.50640417,73.61268437,66.94958678
602,,67.81737194,67.23225096,60.92228809,53.56693548,52.05817109
603,,76.68932427,81.27132501,80.90895002,79.15028158,73.96991803
604,,80.59155866,79.85630573,79.77045382,79.07602524,78.7153241
605,,49.77618621,48.01405551,53.2864105,58.05996113,57.09311348
608,,79.04427883,77.82659243,77.35474388,74.72866057,73.44050889
609,,67.9153605,69.85871339,65.88713101,71.84175095,70.34610052
610,,74.76525822,71.48850433,70.94799746,76.21956923,73.73789279
611,,74.22680412,69.1545749,71.60553691,76.18853211,78.79277108
612,,83.90320884,84.53318273,84.24034918,83.9573663,80.90743982
615,,77.14109673,70.50810157,76.33023256,74.55234677,75.3343033
618,,70.46918123,65.13223374,73.343379,72.94597478,72.63107404
619.01,,75.5787037,72.72017621,69.42948417,70.68001166,69.72887386
619.02,,75.62852745,78.64289694,78.00138249,76.26845393,75.1537037
620,,73.94366197,72.92840783,73.25107692,77.75354839,81.42176019
621,,71.10050701,71.61534358,70.50322581,66.84657534,74.60846561
622,,84.52530322,78.68863469,79.14414971,76.64516729,77.34606866
623,,88.96447468,87.86351351,90.33280232,94.04617068,92.80305011
624,,83.14696486,81.25855856,78.12355872,72.95333333,76.36354167
625,,90.1384083,86.47556297,84.01011434,78.42681661,74.90785886
626,,77.34104046,78.17505896,79.2956912,80.84654018,83.09536232
627,,70.05553182,70.83782383,70.45437331,75.91414591,77.62713904
628,,86.8747902,85.43437009,83.64511763,83.36225016,82.62641261
629,,79.33298319,77.46449237,77.85796178,76.92301064,76.49640555
630,,79.62447844,82.00172779,77.45137615,74.70256167,79.7592089
631,,79.16859122,79.80894688,76.31698113,74.77352278,77.48914956
632,,79.25726075,81.73162162,81.76287683,78.40463918,72.23306506
633.01,,65.93233674,70.92549476,69.39421626,70.20082237,67.66360856
633.02,,82.03243791,81.63014986,81.82166623,83.54541436,84.58313445
633.03,,67.19717065,68.15743544,72.47232502,73.16963835,67.90319234
634,,81.52350081,79.92340734,75.5739022,76.52030999,73.45456035
701.01,,81.52298851,77.57215958,78.44216765,81.68538303,80.57006369
701.02,,72.1906924,74.86918745,73.89689165,75.72286102,75.65750114
701.03,,88.69908016,91.24964585,88.29144385,87.25793379,84.34536082
702,,77.1123872,77.26138444,77.60035823,78.39954764,80.04119718
703,,79.11945613,78.24311927,77.33076923,75.60935712,79.7367076
704,,71.64487268,73.0456596,77.03590096,75.39715237,74.26404372
705,,68.86543536,71.80646634,72.89321033,74.58998858,74.56503575
706,,88.75344082,89.11455224,87.47578297,83.88310899,82.04663278
707,,74.31811217,77.53974951,75.49329549,76.02336743,74.3172788
710,,38.14735718,41.18444217,41.68781242,44.51814101,46.95883999
711,,67.9888933,66.64323194,66.77919818,65.46615266,63.06043059
712,,67.77354382,70.78916084,66.06574336,68.01013699,70.36782007
713,,92.66978081,91.3977151,89.54273817,88.84243684,84.63030027
714,,78.97645363,77.4832607,77.90498555,76.58887269,77.77569411
715,,90.44394281,87.06599886,87.24657802,85.11762123,84.588415
716,,85.84202683,82.99517544,79.51078014,82.2036802,80.0113741
717,,78.75354108,79.59440113,82.35943804,84.1353835,78.48289001
718,,81.52534344,77.99513889,72.239801,75.50933126,71.28563996
801,,81.03119032,83.71979252,82.59583911,80.47304611,82.64965061
802.01,,73.79993806,71.80382166,70.9324947,73.4246729,75.76630037
802.02,,90.4300424,91.74276827,84.42202289,82.07297131,78.47741192
803,,83.09689829,83.00554017,84.66010363,82.62358491,83.80255575
804,,48.92241379,50.03660526,47.28176528,47.35849237,43.47877023
810,,52.37432113,53.97915524,54.2665137,57.84327532,56.95149213
811,,68.77682403,64.68277102,66.76339706,66.97423223,67.01392633
812.01,,82.69904273,81.96810464,79.81478969,78.17729907,74.68185245
812.02,,73.75860819,69.70402868,66.92957186,72.38559671,71.23252149
813,,78.88383139,78.67361799,78.02456359,77.63597927,74.13753943
814.01,,71.53160798,72.70782828,72.74601064,74.12605604,76.61682513
814.02,,77.79038113,77.85163993,80.04263566,76.17724771,76.34449761
814.03,,89.58422024,87.41683704,85.73937695,83.31167018,82.59794608
815,,84.65393795,84.80785214,84.7965344,83.10941236,85.09206183
816,,85.38048626,84.96764217,83.82485039,79.81855874,77.43527697
817,,88.93890675,83.62893718,79.04893904,75.70021747,76.40507797
818,,86.93725883,87.83021745,86.88359398,86.28417334,90.11321037
819,,65.39753639,60.00885685,53.22346041,45.38164557,39.34654655
901,,41.22807018,36.20284522,36.24294671,39.05614514,39.46681648
902,,47.53759398,43.1071373,42.81778563,43.03430365,41.11967213
903,,48.75,47.8341556,40.05651019,37.50091075,40.58689884
1001,,38.37837838,40.83271198,41.23025719,34.23627685,31.61665167
1002,,28.50432168,27.21446228,27.02937489,28.8755102,32.38608046
1003,,29.86795221,27.56601844,25.74279349,26.77066534,28.93318298
1004,,50.60711188,46.82251941,40.82916129,41.11518771,40.96778103
1005,,34.16742493,34.72681564,28.13696538,27.76967903,23.35854199
1006,,31.7866005,29.11162735,25.19131882,21.58899183,25.41662125
1007,,34.19173891,29.74431061,27.52847276,30.22742528,27.27878128
1101,,31.61161605,32.29932341,30.45875962,25.66145833,32.21694998
1102,,24.83300589,30.23264532,25.93859341,23.40211389,22.49035836
1103,,28.54812398,30.8917193,29.57171838,34.01955778,34.04061312
1104,,28.80477055,30.65646294,27.30427046,25.99854851,29.64139175
1105.01,,36.36840724,38.44383954,37.23707131,32.91620112,27.28921974
1105.02,,21.68061113,17.07062544,21.41803101,22.9346465,22.53393414
1201,,64.37659033,62.91950222,61.19067304,60.34953947,58.91251194
1202,,53.06242638,50.17787056,53.82785906,53.64475241,48.60021732
1203,,63.46710799,62.30403531,60.97590909,56.21325788,54.13015556
1204,,36.03836223,39.0942847,37.22465801,38.22501721,38.57343294
1301,,39.02734091,39.50092829,38.74284237,41.45695449,36.96738645
1302,,53.36990596,52.08971888,52.08677966,45.27674419,33.73575269
