tract,percent_hispanic_2016,percent_hispanic_2015,percent_hispanic_2014,percent_hispanic_2013,percent_hispanic_2012,percent_hispanic_2011
1608,,0.5487985213,0.5714550854,0.5937170937,0.5922005571,0.5740037951
1609,,0.2411912752,0.2574823944,0.2596192791,0.2588055130,0.2434102142
1610,,0.3652729384,0.3366164542,0.2690124858,0.2338108883,0.2148760331
1611,,0.2162584680,0.1929911155,0.1747178330,0.1583148559,0.1322609473
1612,,0.6041963016,0.5131381381,0.5200141693,0.5664808917,0.6302263138
1613,,0.6407170294,0.6345422267,0.5934443563,0.5536692223,0.5068382944
1701,,0.1109919571,0.1186531267,0.1185729276,0.1128205128,0.1550539745
1702,,0.4102256361,0.3804397618,0.3223325062,0.2736979167,0.2723449001
1703,,0.3052119246,0.2586417243,0.2114511352,0.1882144265,0.1558935361
1704,,0.0963086317,0.2043010753,0.1784176534,0.1585333685,0.1664366547
1705,,0.1952335558,0.2011047463,0.2015322409,0.2075229750,0.2259143156
1706,,0.2122072392,0.1856524874,0.1856831395,0.1732729332,0.1257739938
1707,,0.2289073306,0.1988696574,0.1705840456,0.2246376812,0.1728835550
1708,,0.2376158940,0.2210666667,0.2640237325,0.2455418381,0.2142857143
1709,,0.3163678427,0.2810873337,0.2040229885,0.2443148688,0.2063854048
1710,,0.3136554890,0.2958862750,0.2701211306,0.2249715586,0.2469951923
1711,,0.3588263588,0.3786704252,0.4179301252,0.4159231297,0.3841847446
1801,,0.5629104736,0.5081108483,0.4433770552,0.4401271635,0.4894014963
1901,,0.8365714286,0.7205882353,0.8244103332,0.7936802974,0.7932075472
1902,,0.8082632803,0.7896030910,0.7439547247,0.7286757385,0.7175957018
1903,,0.6286511628,0.6567493113,0.6358483190,0.6476841306,0.6509367268
1904.01,,0.5817167798,0.6053071958,0.5986314299,0.5639163916,0.5396585260
1904.02,,0.7543453071,0.6869883671,0.6901289368,0.6672107733,0.6764983929
1906.01,,0.7989350373,0.8371362780,0.7816188870,0.8064371927,0.7836244046
1906.02,,0.7859771807,0.7810066477,0.7492722686,0.7207569962,0.6766902119
1907.01,,0.7564575646,0.7988281250,0.7614343213,0.7764906303,0.7737089202
1907.02,,0.8081595648,0.7884086444,0.7911842373,0.7836153161,0.7296761401
1908,,0.8373645942,0.8542363029,0.8377046805,0.8423383525,0.8669179472
1909,,0.8771060456,0.8406652361,0.8231197772,0.7467948718,0.7247942387
1910,,0.9183078045,0.9258876250,0.9182608696,0.9411764706,0.9444006309
1911,,0.9117569353,0.9143145161,0.8758100780,0.8321234120,0.7937258807
1912,,0.9283718567,0.8991194969,0.9005410977,0.9022687609,0.8954473266
1913.01,,0.8849744583,0.8394209729,0.8522060057,0.8257462064,0.8123523456
1913.02,,0.8864301390,0.9076257862,0.9370156964,0.9370801612,0.8888436482
2001,,0.7739267428,0.7786226374,0.8344442055,0.8520553968,0.8184255423
2002,,0.8687435099,0.8822463768,0.9098528590,0.9091236928,0.8735784685
2003,,0.9145477282,0.9250312370,0.9054235769,0.9614703277,0.8392475417
2004.01,,0.9324554987,0.9470372313,0.9537742808,0.8926258097,0.9034866094
2004.02,,0.9361191162,0.9333002727,0.9289379169,0.9178082192,0.9346485820
2101,,0.4244252874,0.3649550334,0.4562766224,0.4881340158,0.4982989340
2104,,0.7226348079,0.6927749361,0.6948982994,0.6993360733,0.7114382091
2105.01,,0.6952135148,0.6646968702,0.6704207395,0.6517203108,0.6871961102
2105.02,,0.6792759813,0.6534935832,0.7080856124,0.7074632637,0.5938257993
2106.01,,0.7265203311,0.7067840835,0.6785604429,0.7266425558,0.6810473073
2106.02,,0.6519180984,0.6815317499,0.7316468254,0.7963294539,0.7420882670
2107,,0.5946843854,0.5500251383,0.6529274005,0.6412129261,0.5696470588
2108,,0.5613382900,0.5330739300,0.5776397516,0.6631578947,0.5680212014
2109,,0.4676854505,0.5811355880,0.5796588349,0.5915032680,0.5700689202
2203,,0.3156132273,0.3449564134,0.2285183465,0.3076288660,0.2789145907
2204,,0.3039561300,0.3781676413,0.3032849503,0.3550102249,0.3288343558
2205,,0.2561683599,0.2736763609,0.2929329916,0.2996453901,0.2874583796
2206.01,,0.5360484315,0.4573934837,0.4451345756,0.5703851262,0.5757575758
2206.02,,0.3974877581,0.3509594883,0.3498023715,0.3855289202,0.3960726969
2207.01,,0.6843805050,0.6406475860,0.6823465802,0.6992125984,0.6916442049
2207.02,,0.7168011739,0.7494351559,0.7507521407,0.6973224680,0.6799603666
2209.01,,0.7538655727,0.7576584774,0.7406962785,0.6960495283,0.6964056483
2209.02,,0.8365650970,0.7930827068,0.7606864275,0.7317983821,0.6890611542
2210,,0.7194918088,0.7624462200,0.7095689392,0.6997728010,0.7244472925
2211,,0.4728323699,0.4216216216,0.4836967809,0.4869383490,0.4845938375
2212,,0.4682263674,0.4293637847,0.4341168091,0.4068522484,0.3628099174
2213,,0.3624110820,0.4315713251,0.4333461391,0.4531368103,0.5042263874
2214,,0.5833882663,0.5180421579,0.6193912771,0.6630154639,0.6829836830
2215,,0.4329501916,0.4883449883,0.4764378479,0.4359450427,0.4806463735
2216,,0.2125000000,0.2325208467,0.2449642625,0.2031511901,0.2261987491
2222,,0.0738446879,0.0682281059,0.0780843311,0.0745406824,0.1403141361
2225,,0.6233243968,0.6664325843,0.6459627329,0.6448011165,0.6434901159
2226,,0.4652307692,0.4388674389,0.4468215159,0.4683855126,0.4191655802
2227,,0.6116119726,0.6582706767,0.6875712657,0.6915504512,0.6820166733
2228,,0.8630017452,0.7938856016,0.7073170732,0.6980703746,0.7603305785
2229,,0.7806372549,0.7243735763,0.7328767123,0.8155416013,0.7334696660
2301,,0.4932907348,0.4945321993,0.6300000000,0.6682027650,0.5889691399
2302,,0.7085285848,0.7464503043,0.7313084112,0.6576354680,0.6207845836
2303,,0.8661616162,0.8811965812,0.9478260870,0.9107142857,0.9677072121
2304,,0.8922326149,0.9186046512,0.8655295518,0.8962264151,0.8943177705
2305,,0.8719293403,0.8636118598,0.9050817757,0.8289398281,0.8415662651
2306,,0.5630529315,0.5361315448,0.6689592525,0.6795600593,0.6768595041
2307,,0.8274600424,0.8622754491,0.8489499192,0.7923908845,0.8068916009
2308,,0.8369652946,0.8133891213,0.7916270219,0.8190184049,0.8982035928
2309,,0.6153846154,0.5516973812,0.5812017864,0.5389360062,0.5535481468
2311,,0.3162184189,0.3088834556,0.1693936477,0.1488986784,0.1202749141
2312,,0.4024958093,0.3400627205,0.2849547066,0.2077335119,0.1987401575
2315,,0.0505194251,0.0591529074,0.0425531915,0.0276130467,0.0447147201
2402,,0.1804910418,0.1803948264,0.2567811935,0.2485946284,0.2718014004
2403,,0.0644194757,0.0477888730,0.0461975835,0.0570342205,0.1016713092
2405,,0.1148486305,0.1197771588,0.1445242370,0.0792311299,0.0553505535
2406,,0.3238674780,0.3014925373,0.4868509777,0.3153384747,0.2145522388
2407,,0.3897324657,0.4190609671,0.5818989450,0.6670276123,0.6364165212
2408,,0.6727169597,0.6894273128,0.7493781095,0.6793349169,0.5625370480
2409,,0.5787806809,0.5639158576,0.5223123732,0.5368639668,0.5747767857
2410,,0.5166508088,0.5004911591,0.4510086455,0.4997809899,0.5046928328
2411,,0.3601674052,0.4498132005,0.3953919492,0.4263546171,0.4660439283
2412,,0.2168865435,0.2248975410,0.1851667496,0.1478218306,0.2120357311
2413,,0.2054582904,0.2023429180,0.1740506329,0.0872765510,0.0662921348
2414,,0.1059154930,0.0969835815,0.1260138477,0.1671493587,0.1798813969
2415,,0.1755227974,0.1947240541,0.1733163102,0.1353305785,0.1526635681
2416,,0.2779321845,0.2091332170,0.2201110786,0.2609308886,0.2392384106
2420,,0.3361788618,0.3545758462,0.2230464886,0.2667271490,0.3222222222
2421,,0.1992020519,0.1908788886,0.1579283887,0.1536321484,0.1702508961
2422,,0.2363488183,0.2242580645,0.1917469731,0.1885184257,0.1203460933
2423,,0.1451254366,0.1488511489,0.1747859463,0.1901129944,0.1694711538
2424,,0.0632911392,0.0833902939,0.0828961175,0.0997970230,0.1075641915
2425,,0.3957605985,0.4126782077,0.4790996785,0.5316804408,0.4697368421
2426,,0.2934933087,0.3358893149,0.4299942540,0.3662021521,0.3821355236
2427,,0.4054360136,0.4079336886,0.4794816415,0.5241979337,0.5738106915
2428,,0.2007352941,0.1702970297,0.1616031028,0.1008610086,0.1857730747
2429,,0.2379227053,0.3503850385,0.3292244479,0.2527200791,0.3107971746
2430,,0.4146440129,0.5400333611,0.5092147436,0.4689742507,0.4177908938
2431,,0.4332455810,0.4868928296,0.5315315315,0.5316859306,0.4812641084
2432,,0.3719485131,0.3602739726,0.3856029344,0.4086956522,0.4213454729
2433,,0.2979072630,0.2932426689,0.2553373185,0.2409528172,0.2159146046
2434,,0.3871188763,0.3868020305,0.3611304955,0.3938401048,0.3746527778
2435,,0.0904605263,0.0747342089,0.0921717172,0.0855159356,0.0534542044
2502,,0.4055944056,0.4161051213,0.4258643617,0.3788796366,0.3956353397
2503,,0.2662635530,0.2280628272,0.2229785479,0.2351505289,0.1837129351
2504,,0.2122936824,0.1957068590,0.1828101393,0.1457357076,0.1459364522
2505,,0.2623983207,0.2457262169,0.2621782178,0.2713312859,0.2501695835
2506,,0.0736842105,0.0732584270,0.0639598341,0.0532043531,0.0607092767
2507,,0.0575268817,0.0543609152,0.0388069819,0.0371299548,0.0149349607
2508,,0.2210391823,0.1960623462,0.0861839183,0.1025528169,0.1066381156
2510,,0.1598214286,0.1222741433,0.0760330579,0.1269470405,0.1195571956
2511,,0.1171088747,0.1231017027,0.0804893754,0.0658906672,0.0786562884
2512,,0.0956481266,0.0098285714,0.0266634638,0.0516979219,0.0573880397
2513,,0.1378533388,0.0631467793,0.0522054123,0.0391705069,0.0658217498
2514,,0.0175034546,0.0400276052,0.0296127563,0.0850202429,0.0600879336
2515,,0.0869454360,0.0629285015,0.0442646359,0.0260231843,0.0112118321
2516,,0.0745978924,0.0525887774,0.0532799507,0.0611216131,0.0405892965
2517,,0.2124492558,0.1861495845,0.1805173363,0.0632362058,0.1097701149
2518,,0.0266980762,0.0000000000,0.0000000000,0.0000000000,0.0044010716
2519,,0.0324922854,0.0348391399,0.0237220180,0.0219363351,0.0127456187
2520,,0.0146847566,0.0343907035,0.0366795367,0.0264523690,0.0585215606
2521.01,,0.0700296736,0.0380526021,0.0604727872,0.0487491982,0.0606595995
2521.02,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2522.01,,0.0127060440,0.0069837047,0.0090057637,0.0071617037,0.0010380623
2522.02,,0.0218374975,0.0049271197,0.0055506217,0.0059212025,0.0032994924
2601,,0.0069033531,0.0066857689,0.0017361111,0.0000000000,0.0000000000
2602,,0.0276422764,0.0284360190,0.0239923225,0.0131578947,0.0000000000
2603,,0.0323232323,0.0316925152,0.0331034483,0.0451482480,0.0098607889
2604,,0.0000000000,0.0006381621,0.0006644518,0.0006578947,0.0008403361
2605,,0.0267111853,0.0326619488,0.0000000000,0.0000000000,0.0000000000
2606,,0.0077307867,0.0054012346,0.0049469965,0.0023769100,0.0032786885
2607,,0.0595533499,0.0838379134,0.0075000000,0.0062292359,0.0047888550
2608,,0.0000000000,0.0000000000,0.0080775444,0.0409799555,0.0695807315
2609,,0.0455729167,0.0236813778,0.0095666854,0.0154798762,0.0089567966
2610,,0.0037562604,0.0038550501,0.0052493438,0.0048183840,0.0056044836
2705,,0.0601703940,0.0222913427,0.0292207792,0.0319277108,0.0429815016
2712,,0.0231259968,0.0208333333,0.0097765363,0.0000000000,0.0000000000
2713,,0.0033812342,0.0025662960,0.0025751073,0.0104347826,0.0109789570
2714,,0.0000000000,0.0008688097,0.0146198830,0.0177059276,0.0171919771
2715,,0.0113879004,0.0139968896,0.0000000000,0.0000000000,0.0000000000
2718,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2801,,0.0518279254,0.0623850399,0.0848167539,0.0736822218,0.0829513207
2804,,0.0082207868,0.0058565154,0.0202464789,0.0200000000,0.0235162374
2808,,0.0315457413,0.0329411765,0.0158273381,0.0183823529,0.0161616162
