tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
817,,0.6846011132,0.6146382035,0.6179844961,0.6277445110,0.6208244492
818,,0.8395904437,0.8111645299,0.8062957338,0.7863413183,0.7981176471
819,,0.4169847328,0.3906250000,0.3284502699,0.2699077955,0.3194122196
901,,0.8750765462,0.8700183936,0.8917360666,0.9093769666,0.8937793427
902,,0.8618294665,0.8773025289,0.8957510662,0.9161397170,0.9118574582
903,,0.9342403628,0.9381132075,0.9636617750,0.9816581071,0.9784511785
1001,,0.8361400189,0.7903282739,0.7538821172,0.7169463087,0.7352498746
1002,,0.8312577833,0.8258894777,0.7667995444,0.7719810796,0.7681940701
1003,,0.8227563548,0.8006302869,0.8188114028,0.8754980080,0.8700800000
1004,,0.8386148318,0.8311859927,0.8801080716,0.8690909091,0.8529788597
1005,,0.8258857041,0.9006982157,0.7994963193,0.8384873653,0.7795772247
1006,,0.7496585366,0.7561857632,0.7594167679,0.7784405624,0.7837957825
1007,,0.7516708438,0.7820593809,0.7870350691,0.8153746491,0.8229282382
1101,,0.7026578073,0.6922167820,0.6641081261,0.6929147667,0.7183046456
1102,,0.5941080196,0.6599270799,0.7068786727,0.6970995386,0.7043245055
1103,,0.6625451779,0.6714339481,0.6854990584,0.6881095663,0.7248899560
1104,,0.6615039282,0.7260644289,0.6816645543,0.6593724195,0.6796775562
1105.01,,0.6179079843,0.6984469370,0.6185652264,0.6419098143,0.5561934202
1105.02,,0.6311294766,0.6149204608,0.6319303338,0.6779026217,0.7341589862
1201,,0.8792105263,0.8878036564,0.8762388818,0.8512153204,0.8566441704
1202,,0.7484303962,0.7532952548,0.7761820592,0.7835803340,0.8103284150
1203,,0.7022215220,0.6853859848,0.7219407339,0.6952531646,0.6575780655
1204,,0.5412694089,0.5503462973,0.5543361884,0.5546434069,0.5406914894
1301,,0.6490617141,0.6211709965,0.6218897382,0.6484505165,0.6318280418
1302,,0.6438271605,0.6608260325,0.6686274510,0.6715006305,0.7498223170
1303,,0.4153210665,0.4233840304,0.4193966315,0.4209363070,0.4901249496
1401,,0.2654405710,0.2409904388,0.1767476450,0.2509030286,0.2263896384
1402,,0.2615794735,0.2746395250,0.2605868623,0.2300556586,0.2247902485
1403.01,,0.1279485347,0.1131732169,0.1343556042,0.1363293051,0.1263477089
1403.02,,0.3078358209,0.2560375671,0.2436371547,0.2951045737,0.2080423280
