tract,percent_black_2016,percent_black_2015,percent_black_2014,percent_black_2013,percent_black_2012,percent_black_2011
1502,,0.015587208,0.033755274,0.032101039,0.046544429,0.081886171
1503,,0.030730296,0.021392506,0.014678638,0.009098914,0.005128205
1504.01,,0.010674723,0.003329865,0.004935622,0.000000000,0.000000000
1504.02,,0.000274725,0.000000000,0.000000000,0.000000000,0.020358306
1505.01,,0.031226005,0.000801496,0.001017294,0.000829187,0.000527148
1505.02,,0.003177966,0.004895105,0.004915580,0.003525508,0.016466486
1506,,0.000000000,0.000000000,0.000000000,0.002465753,0.006655164
1507,,0.000000000,0.001947630,0.002035278,0.002022018,0.002693438
1508,,0.006836659,0.004586314,0.004743833,0.004670278,0.006179775
1510.01,,0.040489245,0.018124507,0.021891780,0.022070015,0.019801980
1510.02,,0.003607504,0.002774813,0.001191895,0.007076863,0.005411674
1511,,0.000369072,0.005008347,0.005229518,0.006074104,0.006521296
1512,,0.002259249,0.033423913,0.039020452,0.036428376,0.035236274
1601,,0.004832714,0.001904037,0.000354108,0.000376648,0.000000000
1602,,0.022154780,0.029827316,0.035097049,0.034473953,0.037463206
1603,,0.081258191,0.169460923,0.156241682,0.144562678,0.149798590
1604,,0.035609470,0.031434185,0.026904949,0.033983394,0.047038659
1605.01,,0.022635063,0.038683859,0.034810861,0.068777044,0.060314242
1605.02,,0.007548950,0.006567426,0.005435964,0.000206143,0.007491438
1606.01,,0.001368925,0.004251063,0.003503504,0.005010549,0.012078830
1606.02,,0.020906801,0.019081095,0.027432055,0.034671533,0.015951883
1607,,0.043189906,0.029960053,0.032496561,0.021092022,0.023680405
1608,,0.003142329,0.009651076,0.009652510,0.002971216,0.008728653
1609,,0.006291946,0.000440141,0.000810045,0.000765697,0.000411862
1610,,0.004645761,0.004634994,0.001135074,0.000573066,0.000000000
1611,,0.018238666,0.019249753,0.013092551,0.024390244,0.019660411
1612,,0.006401138,0.007132132,0.004959263,0.009554140,0.006137323
1613,,0.027144686,0.028911996,0.024054983,0.033406353,0.016894610
1701,,0.052546917,0.034740780,0.019412382,0.030769231,0.020117763
1702,,0.000000000,0.000229043,0.000248139,0.000260417,0.000262881
1703,,0.000811194,0.000610004,0.000592300,0.000394166,0.008174905
1704,,0.014154871,0.004569892,0.002691066,0.002637826,0.002760144
1705,,0.029551954,0.026186579,0.028091083,0.019448600,0.014211076
1706,,0.052519517,0.023792358,0.022529070,0.021140053,0.020123839
1707,,0.002766252,0.002825857,0.000000000,0.000000000,0.000000000
1708,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1709,,0.042220937,0.005205321,0.050574713,0.045481050,0.067274800
1710,,0.052530919,0.042898478,0.017496635,0.017349261,0.002103365
1711,,0.020683021,0.013154804,0.000000000,0.000000000,0.015628645
1801,,0.011406844,0.010138560,0.007574358,0.017661604,0.015274314
1901,,0.014476190,0.030147059,0.022837888,0.026022305,0.052075472
1902,,0.017885888,0.014576747,0.015606242,0.012446067,0.002182673
1903,,0.008372093,0.006427916,0.000000000,0.001708428,0.001237186
1904.01,,0.000000000,0.000000000,0.000000000,0.040484048,0.041495569
1904.02,,0.017767478,0.025850926,0.021137180,0.033870639,0.029495179
1906.01,,0.073269436,0.042704626,0.033094435,0.050961109,0.050578362
1906.02,,0.020242915,0.048243115,0.089074326,0.098852426,0.114026236
1907.01,,0.019792016,0.018554688,0.020856202,0.011584327,0.027230047
1907.02,,0.046056210,0.051669941,0.042453788,0.044968833,0.035690681
1908,,0.004600089,0.004941142,0.030285466,0.032624742,0.029283850
1909,,0.026263627,0.031115880,0.102135562,0.139194139,0.140946502
1910,,0.038293217,0.037228542,0.044869565,0.027573529,0.020110410
1911,,0.028401585,0.030241935,0.072873958,0.081410423,0.119258061
1912,,0.010160020,0.025157233,0.018551920,0.022936923,0.026733722
1913.01,,0.070988198,0.117488638,0.115752391,0.136735034,0.151198110
1913.02,,0.067117776,0.052083333,0.024637393,0.006493506,0.006107492
2001,,0.013981883,0.012165979,0.008815309,0.000000000,0.000000000
2002,,0.016614746,0.014895330,0.007263923,0.008113956,0.005686126
2003,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2004.01,,0.013899049,0.015731515,0.000000000,0.000000000,0.000000000
2004.02,,0.000000000,0.007686586,0.006926629,0.007864028,0.006658446
2101,,0.028735632,0.015665796,0.011024806,0.043043276,0.039237922
2104,,0.024539877,0.019501279,0.016338780,0.014859311,0.012879485
2105.01,,0.029328954,0.036988400,0.042923927,0.044395117,0.020143552
2105.02,,0.017490340,0.009574251,0.008125248,0.020301624,0.015656009
2106.01,,0.021230659,0.020221787,0.014764688,0.010849910,0.008925915
2106.02,,0.021652153,0.023751818,0.003472222,0.006938227,0.032938644
2107,,0.004034172,0.005279035,0.003044496,0.023904382,0.041647059
2108,,0.002788104,0.003891051,0.012422360,0.009716599,0.011484099
2109,,0.044571792,0.051815079,0.056002575,0.050207962,0.017394158
2203,,0.032231059,0.026982150,0.034835114,0.030515464,0.039145907
2204,,0.000000000,0.000000000,0.009167303,0.025357873,0.038036810
2205,,0.054063861,0.052945563,0.043939949,0.098226950,0.064742878
2206.01,,0.033021464,0.070175439,0.109040718,0.107569721,0.096179183
2206.02,,0.032786885,0.050533049,0.054896794,0.073455025,0.084604136
2207.01,,0.054903112,0.100607112,0.095160854,0.082677165,0.077628032
2207.02,,0.048667156,0.049254406,0.042582735,0.045401630,0.050284865
2209.01,,0.076364784,0.077949651,0.080432173,0.157429245,0.120667522
2209.02,,0.005540166,0.017142857,0.068018721,0.074362166,0.133505599
2210,,0.067201605,0.062999385,0.103026597,0.103213242,0.094841397
2211,,0.129479769,0.154885655,0.126895119,0.122466040,0.105842337
2212,,0.037938666,0.030668842,0.044159544,0.035974304,0.048347107
2213,,0.055035567,0.055394642,0.061083365,0.056689342,0.028665932
2214,,0.020764667,0.043586995,0.034828993,0.045747423,0.028971029
2215,,0.040996169,0.038461538,0.034137291,0.041217973,0.032318677
2216,,0.008445946,0.008017960,0.007797271,0.010392223,0.011118833
2222,,0.031919962,0.031568228,0.013014055,0.024671916,0.030366492
2225,,0.088471850,0.056882022,0.080745342,0.082344731,0.066121336
2226,,0.050461538,0.074646075,0.111858191,0.070595457,0.079530639
2227,,0.111071042,0.083834586,0.078677309,0.050861362,0.111949186
2228,,0.058464223,0.142011834,0.228381375,0.278093076,0.234946871
2229,,0.045343137,0.095671982,0.106653620,0.065149137,0.186775733
2301,,0.237060703,0.236938032,0.118750000,0.084265964,0.169402495
2302,,0.201499531,0.135902637,0.160630841,0.169950739,0.156228493
2303,,0.036195286,0.032478632,0.027053140,0.075000000,0.012917115
2304,,0.036193575,0.037509377,0.072193574,0.033584906,0.040897575
2305,,0.074247861,0.073315364,0.054906542,0.067621777,0.082831325
2306,,0.363022942,0.392326554,0.281988061,0.290039545,0.282506887
2307,,0.124975929,0.104500676,0.104200323,0.156624179,0.159906676
2308,,0.075867635,0.057740586,0.062797336,0.069529652,0.026518392
2309,,0.225515947,0.289233754,0.264311815,0.264649190,0.261873720
2311,,0.585167074,0.612876936,0.736284889,0.690748899,0.770618557
2312,,0.560998324,0.611916895,0.660299330,0.762470706,0.780944882
2315,,0.910915042,0.911701364,0.924403611,0.946812454,0.933464497
2402,,0.013271400,0.010891763,0.003013864,0.007495315,0.014003819
2403,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2405,,0.004324844,0.011142061,0.006283662,0.015471167,0.084870849
2406,,0.085192698,0.019402985,0.024949427,0.044558698,0.045708955
2407,,0.109906001,0.099509460,0.038867296,0.034109367,0.022687609
2408,,0.056154282,0.058920705,0.060945274,0.044536817,0.076467101
2409,,0.098970705,0.100323625,0.121703854,0.114226376,0.090401786
2410,,0.231684110,0.282416503,0.299711816,0.278580815,0.287542662
2411,,0.062284589,0.067995019,0.100635593,0.104044772,0.116132290
2412,,0.084960422,0.068647541,0.071677451,0.111600587,0.093559003
2413,,0.096807415,0.129392971,0.148206751,0.150893796,0.187640449
2414,,0.122253521,0.134784269,0.159248269,0.156805958,0.144300461
2415,,0.017483716,0.014231170,0.014682413,0.028925620,0.019663926
2416,,0.021956643,0.038394415,0.045600702,0.043159379,0.047185430
2420,,0.141056911,0.124947764,0.209693373,0.218416875,0.192872117
2421,,0.031917925,0.028692238,0.040920716,0.042967543,0.063022700
2422,,0.018201576,0.037677419,0.039041265,0.048132364,0.038542213
2423,,0.032708796,0.031302031,0.011219368,0.009887006,0.009615385
2424,,0.024613221,0.019138756,0.012242043,0.011502030,0.005551700
2425,,0.039650873,0.033095723,0.029433589,0.034560481,0.025000000
2426,,0.181818182,0.135189198,0.089829535,0.123831364,0.117248460
2427,,0.248584371,0.256956779,0.280237581,0.239260468,0.228543404
2428,,0.006617647,0.003300330,0.005817712,0.006765068,0.004703116
2429,,0.074879227,0.056105611,0.055983564,0.052423343,0.019677094
2430,,0.027912621,0.000000000,0.000801282,0.010130857,0.016863406
2431,,0.025949605,0.037008481,0.038386212,0.041052212,0.035214447
2432,,0.004438526,0.008675799,0.008253095,0.002898551,0.003540718
2433,,0.027492819,0.029749256,0.038855679,0.018323408,0.022804464
2434,,0.062692703,0.055499154,0.055826936,0.029161206,0.035069444
2435,,0.110855263,0.122576610,0.116792929,0.143893973,0.172553923
2502,,0.565734266,0.563005391,0.548204787,0.594246783,0.556142203
2503,,0.689532944,0.724607330,0.747731023,0.751423922,0.813923507
2504,,0.749193701,0.789703170,0.792177270,0.852546079,0.828037682
2505,,0.332721071,0.332245857,0.290825083,0.276939511,0.289512956
2506,,0.913729977,0.915955056,0.919668195,0.917372027,0.899819675
2507,,0.939247312,0.942198521,0.957634299,0.957517980,0.982174402
2508,,0.745741056,0.768252666,0.896490449,0.885563380,0.880085653
2510,,0.822321429,0.871495327,0.921487603,0.873052960,0.880442804
2511,,0.873055810,0.864012885,0.895685769,0.902722927,0.874027038
2512,,0.870374680,0.932114286,0.901032909,0.896604156,0.885760257
2513,,0.827324867,0.926293559,0.937566589,0.954754922,0.929272281
2514,,0.939659143,0.912123303,0.913439636,0.838815789,0.883488031
2515,,0.894186639,0.919686582,0.929319372,0.950082801,0.957538168
2516,,0.877981143,0.903496883,0.939020634,0.931316950,0.947684907
2517,,0.766576455,0.793905817,0.799119428,0.914445133,0.863218391
2518,,0.965056930,0.988163346,0.992700730,0.994348002,0.986988136
2519,,0.951170811,0.946157693,0.954393585,0.943427346,0.947424323
2520,,0.969832402,0.951319095,0.942567568,0.959651766,0.923853525
2521.01,,0.902077151,0.925573587,0.907641561,0.903143040,0.776796231
2521.02,,1.000000000,1.000000000,0.997810711,0.998036007,0.993888338
2522.01,,0.944711538,0.959428001,0.938040346,0.938560121,0.944636678
2522.02,,0.966948652,0.981112708,0.977575488,0.984513778,0.988071066
2601,,0.903353057,0.910219675,0.935763889,0.926734217,0.937752627
2602,,0.969105691,0.967614534,0.971209213,0.982456140,1.000000000
2603,,0.950168350,0.937963587,0.936551724,0.931940701,0.970997680
2604,,0.992537313,0.989789407,0.985382060,0.983552632,0.979831933
2605,,0.967723984,0.962983125,0.995594714,0.995920746,0.996232102
2606,,0.942246476,0.957561728,0.957950530,0.964346350,0.956184799
2607,,0.906699752,0.886353051,0.961000000,0.980481728,0.987810187
2608,,0.991439054,0.991579791,0.989903069,0.949665924,0.913470116
2609,,0.908203125,0.942949408,0.951041080,0.954592363,0.952581665
2610,,0.990818030,0.996144950,0.994750656,0.995181616,0.994395516
2705,,0.884451544,0.920165889,0.906926407,0.922891566,0.910228509
2712,,0.939393939,0.970108696,0.977653631,0.983606557,0.987725041
2713,,0.987320372,0.988879384,0.987982833,0.974782609,0.967978042
2714,,0.942616034,0.965247611,0.953216374,0.951501155,0.957020057
2715,,0.956583630,0.963452566,0.990811639,0.989964158,0.991531404
2718,,0.991821561,0.991056911,0.980066445,0.980334317,0.981102362
2801,,0.041844076,0.039393010,0.039616056,0.054033629,0.052608601
2804,,0.912507340,0.927525622,0.856514085,0.805263158,0.746920493
2808,,0.889589905,0.851764706,0.882014388,0.865808824,0.858585859
2809,,0.809684685,0.845569620,0.840386941,0.934552454,0.931722689
2819,,0.070581015,0.062448133,0.077594568,0.087428995,0.101525513
2827,,0.529252228,0.435886761,0.448963629,0.455089820,0.433912387
2828,,0.236651285,0.195527157,0.244308717,0.183661645,0.179819617
2831,,0.417552280,0.449963742,0.506917347,0.454148472,0.400000000
2832,,0.330212235,0.388926401,0.388970588,0.430278884,0.393277311
2838,,0.428529584,0.467775468,0.475530933,0.471214018,0.522926500
2909,,0.985407270,0.972455784,0.968004063,0.938088162,0.918825957
2912,,0.972076083,0.986908784,0.984031075,0.970081967,0.972881356
2916,,0.178114086,0.207711443,0.172539490,0.160869565,0.201621074
2922,,0.943793911,0.937543615,0.974225122,0.959250739,0.938245614
2924,,0.942431762,0.921845574,0.944553484,0.935404339,0.944117647
2925,,0.916746641,0.957202993,0.972488038,0.989845261,0.995453397
3005,,0.049801405,0.039469320,0.025922233,0.030817175,0.030120482
3006,,0.126315789,0.117716304,0.144589269,0.123770966,0.151094665
3007,,0.008350305,0.008521517,0.017245241,0.016850146,0.036214175
3008,,0.004706990,0.003637142,0.004066986,0.004282116,0.000000000
3009,,0.021050085,0.020943729,0.014428413,0.015061861,0.016346653
3011,,0.033029997,0.030169705,0.033566434,0.027487418,0.027374533
3012,,0.084266352,0.076179648,0.046136428,0.034222446,0.064350379
3016,,0.022024566,0.020385553,0.030372757,0.000672948,0.000681973
3017.01,,0.000509684,0.000534188,0.000553250,0.000558971,0.000214500
